task_id,baryon_fraction,scale_radius_over_rs,assembly_time_myr,sigma_over_m_cm2_g,final_black_hole_mass_msun,accreted_dark_matter_msun,enhancement_over_matched_control,peak_accretion_rate_msun_myr,final_accretion_rate_msun_myr,steps,mass_budget_residual_code
4,0.05,0.01,0.0,10.0,3476.838522499955,3376.838522499955,100.9299248409887,2654.4833937220565,1622.6753796552093,1828165,2.2115642650533118e-13
5,0.05,0.01,0.05,10.0,3453.2217380778234,3353.2217380778234,100.2240455811931,2640.7053510713436,1641.5287216749389,1814156,4.742872761198669e-13
6,0.05,0.01,0.2,10.0,3468.0349941559493,3368.0349941559493,100.66679722971098,2624.6184542869937,1671.7633751306803,1818745,9.707790127322369e-13
7,0.05,0.01,0.5,10.0,3522.102425603808,3422.102425603808,102.28281225560501,2691.31051424137,1775.6331474104954,1798418,1.4628298572461063e-12
8,0.05,0.01,1.0,10.0,3438.5642860076136,3338.5642860076136,99.78595074013109,2827.6217740227075,2086.0848795363345,1667037,1.971756091734278e-13
9,0.05,0.02,0.0,10.0,1876.7411804017165,1776.7411804017165,53.104805753955674,1879.858940038728,1879.858940038728,1241689,5.861977570020827e-14
10,0.05,0.02,0.05,10.0,1851.7622473842528,1751.7622473842528,52.35821339685527,1870.9787246249862,1870.9787246249862,1233058,7.016609515630989e-14
11,0.05,0.02,0.2,10.0,1874.3472876406913,1774.3472876406913,53.03325497803383,1854.3082236894002,1854.3082236894002,1251966,9.14823772291129e-14
12,0.05,0.02,0.5,10.0,1913.2822647773894,1813.2822647773894,54.19697787739927,1870.5192543709966,1870.5192543709966,1258875,4.5208281562736374e-13
13,0.05,0.02,1.0,10.0,1796.9993464779734,1696.9993464779734,50.721411567061715,1923.9732888069955,1923.9732888069955,1177250,3.099742684753437e-13
14,0.05,0.04,0.0,10.0,573.0794885201402,473.0794885201402,14.13981654793556,495.87294489550845,495.87294489550845,868625,1.6786572132332367e-13
15,0.05,0.04,0.05,10.0,564.2483043877179,464.2483043877179,13.875862336088188,488.1765355888867,488.1765355888867,862232,1.865174681370263e-13
16,0.05,0.04,0.2,10.0,567.5510302505686,467.5510302505686,13.974577116462445,488.5223761916264,488.5223761916264,861774,1.3145040611561853e-13
17,0.05,0.04,0.5,10.0,576.1670787242379,476.16707872423785,14.232101164201024,497.7355180407349,497.7355180407349,855913,9.681144774731365e-14
18,0.05,0.04,1.0,10.0,531.512660490589,431.51266049058904,12.897430570357043,477.6129595020832,477.6129595020832,810217,5.062616992290714e-14
19,0.05,0.07,0.0,10.0,279.05663744470365,179.05663744470365,5.351802533392932,152.04352751330975,106.87093285208255,734286,1.4566126083082054e-13
20,0.05,0.07,0.05,10.0,275.5167947488191,175.5167947488191,5.246000596207007,141.1678526555867,105.09217574562672,729369,1.8474111129762605e-13
21,0.05,0.07,0.2,10.0,269.77409386314525,169.77409386314525,5.074357692670642,119.85988955948858,102.57285710426227,719745,1.341149413747189e-13
22,0.05,0.07,0.5,10.0,260.57080654732647,160.57080654732647,4.799281733045562,99.76116819813618,99.76116819813618,702978,9.50350909079134e-14
23,0.05,0.07,1.0,10.0,239.84170635037,139.84170635037,4.1797121234951335,93.5445581496644,93.5445581496644,673916,8.615330671091215e-14
24,0.05,0.1,0.0,10.0,209.38240824593692,109.38240824593692,3.269317786334541,107.93674368895368,43.8759153565582,679740,9.947598300641403e-14
25,0.05,0.1,0.05,10.0,207.3695876849839,107.36958768498391,3.209156832062738,98.89997274151018,43.35485521030105,676098,5.062616992290714e-14
26,0.05,0.1,0.2,10.0,202.8295910735955,102.82959107359551,3.073461413489231,80.8436377375984,42.354085181116986,667442,7.72715225139109e-14
27,0.05,0.1,0.5,10.0,195.09020260193333,95.09020260193333,2.8421397522503673,70.85114915427296,41.02932408674857,653124,1.3589129821411916e-13
28,0.05,0.1,1.0,10.0,182.97669423611222,82.97669423611222,2.4800805419041527,70.83211150319013,39.24501735558603,634024,6.394884621840902e-14
29,0.05,0.15,0.0,10.0,169.81747603196146,69.81747603196146,2.086766234613013,80.38790576445112,20.35206875577191,637650,9.85878045867139e-14
30,0.05,0.15,0.05,10.0,168.79213476180416,68.79213476180416,2.056119931378849,72.18849393948669,20.24817843227948,635447,2.2293278334473143e-13
31,0.05,0.15,0.2,10.0,166.21342528464487,66.21342528464487,1.9790451906169633,70.89552093986119,20.053685101240774,629913,1.1457501614131615e-13
32,0.05,0.15,0.5,10.0,161.81262075745852,61.81262075745852,1.8475100676878486,70.83708504206199,19.829876379009065,621125,1.2079226507921703e-13
33,0.05,0.15,1.0,10.0,155.72371903544405,55.72371903544405,1.665519608543205,70.82858527088202,19.646184301708182,610688,7.638334409421077e-14
34,0.05,0.2,0.0,10.0,154.94063633228092,54.94063633228092,1.6421141427953134,75.12274520862174,13.92833511308154,618931,1.723066134218243e-13
35,0.05,0.2,0.05,10.0,154.3266034561808,54.326603456180806,1.623761387215873,71.42244551025044,13.910274640927154,617499,3.739231146937527e-13
36,0.05,0.2,0.2,10.0,152.74560617274142,52.74560617274142,1.5765071475096726,70.8647985190526,13.89535336027119,613894,1.9628743075372768e-13
37,0.05,0.2,0.5,10.0,150.05649731606644,50.05649731606644,1.4961326928281646,70.83213446336407,13.92535003777035,608270,2.2737367544323206e-13
38,0.05,0.2,1.0,10.0,146.4041543867986,46.40415438679861,1.3869682495513176,70.82733833145613,14.031844981819395,601777,1.4033219031261979e-13
39,0.05,0.3,0.0,10.0,143.68005037580332,43.68005037580332,1.3055478288658644,72.52161281407967,9.858251520815047,603447,1.723066134218243e-13
40,0.05,0.3,0.05,10.0,143.39047240287678,43.39047240287678,1.2968926672854866,71.06621416857195,9.870481358025001,602725,4.725109192804666e-13
41,0.05,0.3,0.2,10.0,142.63316159416473,42.63316159416473,1.2742574946246426,70.84305615908453,9.920214446207323,600894,2.6290081223123707e-13
42,0.05,0.3,0.5,10.0,141.33922033401026,41.339220334010264,1.2355830382460296,70.82858096871419,10.026092069829184,598060,4.3076653355456074e-13
