sigma_over_m_cm2_g,scale_radius_over_rs,optimal_assembly_time_myr,maximum_enhancement,maximum_accreted_dark_matter_msun,task_id
10.0,0.01,0.5,102.28281225560501,3422.102425603808,7
10.0,0.02,0.5,54.19697787739927,1813.2822647773894,12
10.0,0.04,0.5,14.232101164201024,476.16707872423785,17
10.0,0.07,0.0,5.351802533392932,179.05663744470365,19
10.0,0.1,0.0,3.269317786334541,109.38240824593692,24
10.0,0.15,0.0,2.086766234613013,69.81747603196146,29
10.0,0.2,0.0,1.6421141427953134,54.94063633228092,34
10.0,0.3,0.0,1.3055478288658644,43.68005037580332,39
30.0,0.01,0.5,94.74651478601363,2253.708057317796,47
30.0,0.02,0.5,33.21469763854048,790.0684458781087,52
30.0,0.04,0.0,10.599674367890957,252.13140115827423,54
30.0,0.07,0.0,5.350908166900267,127.28051134067596,59
30.0,0.1,0.0,3.452843786218243,82.13180061804727,64
30.0,0.15,0.0,2.1776872513857257,51.80001940810965,69
30.0,0.2,0.0,1.675985725980262,39.86618972868979,74
30.0,0.3,0.0,1.3030267148588002,30.994721154757656,79
50.0,0.01,0.5,56.87514194277111,1258.2278967794987,87
50.0,0.02,0.5,20.565091762676357,454.9539793969425,92
50.0,0.04,0.0,7.9636813155523365,176.17759973895198,94
50.0,0.07,0.0,4.6838616594832425,103.61935290724642,99
50.0,0.1,0.0,3.2340173669007672,71.54497959404418,104
50.0,0.15,0.0,2.136524728820991,47.26555264981633,109
50.0,0.2,0.0,1.6688767345903066,36.91994766115374,114
50.0,0.3,0.0,1.3054249096014057,28.87943629334731,119
100.0,0.01,1.0,26.204738083743784,622.3985601391142,128
100.0,0.02,0.5,11.12951152679472,264.34120147248854,132
100.0,0.04,0.0,5.162791143611483,122.62338832824094,134
100.0,0.07,0.0,3.5768347451992506,84.95474322823367,139
100.0,0.1,0.0,2.7019066472523225,64.17399790472905,144
100.0,0.15,0.0,1.955206319499118,46.43883843227832,149
100.0,0.2,0.0,1.598442662764537,37.96521104657597,154
100.0,0.3,0.0,1.291808126425659,30.68221919615803,159
