sigma_over_m_cm2_g,assembly_time_myr,conduction,accreted_dark_matter_msun,enhancement_over_matched_control,peak_accretion_rate_msun_myr,final_accretion_rate_msun_myr
0.0,0.0,disabled,55.606995584703355,0.5934903633589741,223.4476449372563,19.023189274071427
0.0,0.05,disabled,75.95449102195494,0.810658047631804,260.0074012862941,23.30328207867534
0.0,0.2,disabled,148.50800034567004,1.585017607229113,163.2634809496029,52.77645274633718
0.0,0.5,disabled,230.51981235735587,2.460325104042204,154.2839786088867,102.01800854889537
0.0,0.75,disabled,263.29610610380695,2.810144659668273,156.76371608014318,133.83781866184748
0.0,1.0,disabled,275.07948643546337,2.9359080209341983,161.59507259411401,155.6363731660095
0.0,1.25,disabled,273.97630010856716,2.9241337747783356,168.96756348588397,168.96756348588397
0.0,1.5,disabled,265.07610561899537,2.829142495245252,176.32636594275016,176.32636594275016
0.0,2.0,disabled,236.3701985938086,2.522765950139953,178.28952168169906,178.28952168169906
10.0,0.0,implicit,3376.838522499955,100.9299248409887,2654.4833937220565,1622.6753796552093
10.0,0.05,implicit,3353.2217380778234,100.2240455811931,2640.7053510713436,1641.5287216749389
10.0,0.2,implicit,3368.0349941559493,100.66679722971098,2624.6184542869937,1671.7633751306803
10.0,0.3,implicit,3390.3756263410246,101.33453372712292,2637.978447563287,1699.0076762649057
10.0,0.4,implicit,3409.497179855081,101.90605556512537,2661.673712401902,1733.7470843990504
10.0,0.5,implicit,3422.102425603808,102.28281225560501,2691.31051424137,1775.6331474104954
10.0,0.55,implicit,3425.3552439839596,102.38003535716658,2707.2971864230044,1799.2222851912215
10.0,0.6,implicit,3426.33749296896,102.40939368021658,2723.4755361948164,1824.5710164144796
10.0,0.65,implicit,3424.9020218685105,102.36648905527984,2739.3538173712336,1851.6713062276194
10.0,0.7,implicit,3420.9177400028607,102.24740332862578,2754.827544661267,1880.5060063149142
10.0,1.0,implicit,3338.5642860076136,99.78595074013109,2827.6217740227075,2086.0848795363345
10.0,1.5,implicit,2975.2304262345333,88.92630823287412,2832.486591335908,2473.4176466266194
10.0,2.0,implicit,2412.10201165372,72.09503004744606,2696.087703960255,2667.923578781743
30.0,0.0,implicit,2123.372338334881,89.26716483841786,2714.267571026957,2714.267571026957
30.0,0.05,implicit,2101.5408769391124,88.34936411741577,2685.2365091567517,2685.2365091567517
30.0,0.2,implicit,2169.9445018168885,91.22507156978756,2648.192690058537,2648.192690058537
30.0,0.35,implicit,2229.8902259716806,93.74520651874356,2644.51168734595,2644.51168734595
30.0,0.5,implicit,2253.708057317796,94.74651478601363,2651.0365663373323,2651.0365663373323
30.0,0.65,implicit,2242.63321451051,94.28092530809248,2658.5027403481386,2658.5027403481386
30.0,1.0,implicit,2106.079989571473,88.54018967742604,2645.436025383024,2645.436025383024
50.0,0.0,implicit,981.0012735518837,44.34378447824264,1438.561570634304,1438.561570634304
50.0,0.05,implicit,988.0059658632765,44.66041461376547,1430.196704237187,1430.196704237187
50.0,0.2,implicit,1108.4968916905307,50.10691482790112,1499.3355004885764,1499.3355004885764
50.0,0.3,implicit,1176.676593184312,53.188812956213035,1545.543807944893,1545.543807944893
50.0,0.4,implicit,1226.323533037462,55.43298252072474,1582.9947304675125,1582.9947304675125
50.0,0.5,implicit,1258.2278967794987,56.87514194277111,1611.3521466167833,1611.3521466167833
50.0,0.6,implicit,1274.2246060130828,57.59823440527814,1630.8835614636225,1630.8835614636225
50.0,0.65,implicit,1276.8893979229065,57.718689863710665,1637.408177142105,1637.408177142105
50.0,0.7,implicit,1276.34178845529,57.693936505213685,1641.8006035452577,1641.8006035452577
50.0,0.75,implicit,1272.837115445293,57.53551625764425,1644.0796561271352,1644.0796561271352
50.0,1.0,implicit,1219.3819372855087,55.119204512215944,1624.674844590788,1624.674844590788
50.0,1.5,implicit,1013.2502334617163,45.80152053470197,1457.9726796695363,1457.9726796695363
50.0,2.0,implicit,783.3317974162497,35.408614989676124,1209.597319503348,1209.597319503348
100.0,0.0,implicit,344.2300320028055,14.493057032741316,410.6964091424963,410.6964091424963
100.0,0.05,implicit,360.885670753456,15.194306487721894,420.04317313834486,420.04317313834486
100.0,0.2,implicit,466.123201374793,19.625103894926234,501.06628230001434,501.06628230001434
100.0,0.5,implicit,601.1351008312457,25.309486363057772,632.0253538886158,632.0253538886158
100.0,0.65,implicit,627.8770813227949,26.43539930614845,670.6580492493073,670.6580492493073
100.0,0.75,implicit,634.3651184147352,26.708564000864182,686.9723206016806,686.9723206016806
100.0,0.85,implicit,633.6975387687731,26.680457011399803,696.4449969380919,696.4449969380919
100.0,1.0,implicit,622.3985601391142,26.204738083743784,699.5069998638025,699.5069998638025
100.0,1.25,implicit,585.4966624788885,24.651063919132614,681.7362614652594,681.7362614652594
100.0,1.5,implicit,536.8955796620879,22.604821001224934,645.7199771015565,645.7199771015565
100.0,2.0,implicit,432.2397766274404,18.198515969198773,554.2122687371011,554.2122687371011
