task_id,matrix,case_type,halo_mass_msun,baryon_fraction,supply_radius_pc,predicted_time_myr,assembly_multiplier,assembly_time_myr,accreted_dark_matter_msun,final_black_hole_mass_msun,peak_accretion_rate_msun_myr,steps,elapsed_seconds,mass_budget_residual_code,cells,r_max_pc,nfw_scale_radius_pc,nfw_concentration,enhancement_over_matched_control
0,base,control,1000000.0,0.0,1.0751648436208394,0.5641081809162258,0.0,0.0,22.122633083633488,122.12263308363349,62.5761533275808,574384,27.22996410500491,1.865174681370263e-14,256,5000.0,30.0,3.9200662204075956,1.0
1,base,baryon,1000000.0,0.01,1.0751648436208394,0.5641081809162258,0.0,0.0,506.5133706117084,606.5133706117084,406.27183708007135,892140,35.77422242902685,3.8191672047105385e-14,256,5000.0,30.0,3.9200662204075956,22.895709054923994
2,base,baryon,1000000.0,0.01,1.0751648436208394,0.5641081809162258,0.5,0.2820540904581129,474.6823261880427,574.6823261880427,388.7684590794688,868343,35.210327811015304,4.3520742565306136e-14,256,5000.0,30.0,3.9200662204075956,21.45686385492768
3,base,baryon,1000000.0,0.01,1.0751648436208394,0.5641081809162258,1.0,0.5641081809162258,421.0082801273312,521.0082801273312,365.7093149012643,826688,34.01035585999489,3.375077994860476e-14,256,5000.0,30.0,3.9200662204075956,19.03065871660624
4,base,baryon,1000000.0,0.01,1.0751648436208394,0.5641081809162258,2.0,1.1282163618324517,292.9314115194257,392.9314115194257,290.69523414015964,740686,31.65391512698261,7.016609515630989e-14,256,5000.0,30.0,3.9200662204075956,13.241254348522322
5,base,baryon,1000000.0,0.05,1.0751648436208394,0.5641081809162258,0.0,0.0,981.0012735518837,1081.0012735518837,1438.561570634304,1050206,40.31337719003204,1.2079226507921703e-13,256,5000.0,30.0,3.9200662204075956,44.34378447824264
6,base,baryon,1000000.0,0.05,1.0751648436208394,0.5641081809162258,0.5,0.2820540904581129,1165.7969353389913,1265.7969353389913,1537.8624603375274,1124333,42.45652674604207,1.021405182655144e-13,256,5000.0,30.0,3.9200662204075956,52.697024397220495
7,base,baryon,1000000.0,0.05,1.0751648436208394,0.5641081809162258,1.0,0.5641081809162258,1270.1877310524096,1370.1877310524096,1624.8744569581456,1141522,42.83681346604135,2.5845992013273644e-13,256,5000.0,30.0,3.9200662204075956,57.4157572586649
8,base,baryon,1000000.0,0.05,1.0751648436208394,0.5641081809162258,2.0,1.1282163618324517,1174.866174006002,1274.866174006002,1596.2434968753205,1067323,29.815160499012563,1.5010215292932116e-13,256,5000.0,30.0,3.9200662204075956,53.10697734598229
9,base,baryon,1000000.0,0.16,1.0751648436208394,0.5641081809162258,0.0,0.0,1113.0397090699516,1213.0397090699516,1869.0220682311501,1297081,35.55446794995805,4.3520742565306136e-13,256,5000.0,30.0,3.9200662204075956,50.31226187507435
