protocol,case_type,halo_mass_msun,black_hole_mass_msun,sigma_over_m_cm2_g,r_min_pc,assembly_time_myr,accreted_dark_matter_msun,mass_budget_residual_code,accreted_fraction_of_halo,enhancement_over_matched_control
fixed_physical_seed_boundary_sigma,control,1000000.0,100.0,50.0,0.005,0.0,22.122633083633488,1.865174681370263e-14,2.212263308363349e-05,1.0
fixed_physical_seed_boundary_sigma,control,10000000.0,100.0,50.0,0.005,0.0,15.346599993207704,2.1316282072803006e-14,1.5346599993207705e-06,1.0
fixed_physical_seed_boundary_sigma,control,100000000.0,100.0,50.0,0.005,0.0,18.00014946038236,2.3092638912203256e-14,1.800014946038236e-07,1.0
fixed_physical_seed_boundary_sigma,baryon,1000000.0,100.0,50.0,0.005,0.7051352261452823,1276.1138270465785,3.623767952376511e-13,0.0012761138270465785,57.68363206234516
fixed_physical_seed_boundary_sigma,baryon,10000000.0,100.0,50.0,0.005,0.7420215049069357,689.3146920946687,1.1546319456101628e-13,6.893146920946686e-05,44.91644353796635
fixed_physical_seed_boundary_sigma,baryon,100000000.0,100.0,50.0,0.005,0.7439608460413383,393.60486455796564,5.302425165609748e-13,3.936048645579656e-06,21.866755352463873
scaled_seed_boundary_fixed_sigma,control,1000000.0,100.0,50.0,0.005,0.0,22.122633083633488,1.865174681370263e-14,2.212263308363349e-05,1.0
scaled_seed_boundary_fixed_sigma,baryon,1000000.0,100.0,50.0,0.005,0.7051352261452823,1276.1138270465785,3.623767952376511e-13,0.0012761138270465785,57.68363206234516
scaled_seed_boundary_fixed_sigma,control,10000000.0,1000.0,50.0,0.01077217345015942,0.0,241.55838048893634,1.4210854715202004e-14,2.4155838048893632e-05,1.0
scaled_seed_boundary_fixed_sigma,baryon,10000000.0,1000.0,50.0,0.01077217345015942,0.7051352261452825,5967.177276332187,2.859934511434403e-13,0.0005967177276332187,24.702836905323146
scaled_seed_boundary_fixed_sigma,control,100000000.0,10000.0,50.0,0.023207944168063894,0.0,3021.7063590204707,1.3322676295501878e-14,3.021706359020471e-05,1.0
scaled_seed_boundary_fixed_sigma,baryon,100000000.0,10000.0,50.0,0.023207944168063894,0.7051352261452823,39344.34645997038,2.7977620220553945e-13,0.0003934434645997038,13.020572413503611
fully_dimensionless_self_similar,control,1000000.0,100.0,50.0,0.005,0.0,22.122633083633488,1.865174681370263e-14,2.212263308363349e-05,1.0
fully_dimensionless_self_similar,baryon,1000000.0,100.0,50.0,0.005,0.7051352261452823,1276.1138270465785,3.623767952376511e-13,0.0012761138270465785,57.68363206234516
fully_dimensionless_self_similar,control,10000000.0,1000.0,23.207944168063893,0.01077217345015942,0.0,221.2263308363315,2.042810365310288e-14,2.212263308363315e-05,1.0
fully_dimensionless_self_similar,baryon,10000000.0,1000.0,23.207944168063893,0.01077217345015942,0.7051352261452825,12761.138270465472,3.623767952376511e-13,0.001276113827046547,57.68363206234463
fully_dimensionless_self_similar,control,100000000.0,10000.0,10.77217345015942,0.023207944168063894,0.0,2212.26330836333,2.042810365310288e-14,2.21226330836333e-05,1.0
fully_dimensionless_self_similar,baryon,100000000.0,10000.0,10.77217345015942,0.023207944168063894,0.7051352261452823,127611.38270465727,3.623767952376511e-13,0.0012761138270465727,57.68363206234539
