task_id,sigma_over_m_cm2_g,scale_radius_over_rs,optimal_assembly_time_myr,position,radius_pc,feed_radius_pc,dynamical_time_myr,assembly_over_dynamical_time_myr,collision_time_myr,assembly_over_collision_time_myr,conduction_radius_time_myr,assembly_over_conduction_radius_time_myr,conduction_gradient_time_myr,assembly_over_conduction_gradient_time_myr,inflow_time_myr,assembly_over_inflow_time_myr
7,10.0,0.01,0.5,hernquist_radius,0.2944252517842078,0.8664131897876486,0.03014798663295841,16.58485543619651,0.031036804988459097,16.10990564866206,0.02848987326325072,17.550095620992227,0.02848987326325072,17.550095620992227,0.13689196019589717,3.652515452949045
7,10.0,0.01,0.5,inward_flux_median,0.8664131897876486,0.8664131897876486,0.10186033533738001,4.908682053165335,0.4437604432033295,1.1267340468445082,0.208250454807081,2.400955140593522,0.10902214587659066,4.586224165556078,0.20829024398211288,2.40049649201495
7,10.0,0.01,0.5,initial_hernquist_radius,0.2944252517842078,0.8664131897876486,0.18854987120653444,2.6518183056848033,0.3022583385937119,1.6542140816571071,0.22799968360983727,2.1929854992940307,0.22799968360983727,2.1929854992940307,inf,0.0
7,10.0,0.01,0.5,initial_future_feed_radius,0.8664131897876486,0.8664131897876486,0.48950322434969673,1.0214437313753106,0.7139436957623757,0.700335338721748,0.8665371331406001,0.5770093177517327,0.8665371331406001,0.5770093177517327,inf,0.0
12,10.0,0.02,0.5,hernquist_radius,0.593830575603711,0.914455455357331,0.0853227990917767,5.860098418268949,0.2881472612671732,1.7352238497814305,0.14419438804108872,3.467541329399887,0.14419438804108872,3.467541329399887,0.15724435944314516,3.1797642966060415
12,10.0,0.02,0.5,inward_flux_median,0.914455455357331,0.914455455357331,0.13391069923837393,3.733831597055228,0.5990461924431577,0.8346601753043343,0.4845939325581923,1.031791705192177,0.4845939325581923,1.031791705192177,0.29962938097216346,1.6687282080873491
12,10.0,0.02,0.5,initial_hernquist_radius,0.593830575603711,0.914455455357331,0.37040538602912,1.3498723799893442,0.5312921292252671,0.9411018392632741,0.5571439178396854,0.8974341888873887,0.5571439178396854,0.8974341888873887,inf,0.0
12,10.0,0.02,0.5,initial_future_feed_radius,0.914455455357331,0.914455455357331,0.5076575467372954,0.9849159206112265,0.7450353095633103,0.6711091321202836,0.9226948088974638,0.5418909862486974,0.9226948088974638,0.5418909862486974,inf,0.0
17,10.0,0.04,0.5,hernquist_radius,1.1977055309790143,1.334212653481817,0.23284460911229057,2.147354847106949,0.8337795265900376,0.5996789127755182,0.9644798389065506,0.5184141542728976,0.9644798389065506,0.5184141542728976,0.8996191732636644,0.5557907333011652
17,10.0,0.04,0.5,inward_flux_median,1.334212653481817,1.334212653481817,0.2582329849391485,1.936235992926399,0.9328730232251232,0.5359786246914965,1.1509586386902744,0.434420476281382,1.1509586386902744,0.434420476281382,1.089164950080533,0.45906728816698517
17,10.0,0.04,0.5,initial_hernquist_radius,1.1977055309790143,1.334212653481817,0.6035950983374743,0.8283698813611745,0.9249662298695369,0.5405602754497568,1.2655214183585142,0.39509406379588685,1.2655214183585142,0.39509406379588685,inf,0.0
17,10.0,0.04,0.5,initial_future_feed_radius,1.334212653481817,1.334212653481817,0.6447810522346455,0.7754570303626764,1.0105068833776527,0.4948011816888703,1.43835519207395,0.3476192826050532,1.43835519207395,0.3476192826050532,inf,0.0
47,30.0,0.01,0.5,hernquist_radius,0.2944252517842078,0.914455455357331,0.03017433357015943,16.570374249937682,0.009299262728339109,53.76770337677107,0.0793510219268967,6.301116077126673,0.0793510219268967,6.301116077126673,0.1565460889482891,3.1939475675126054
47,30.0,0.01,0.5,inward_flux_median,0.914455455357331,0.914455455357331,0.10891578791275715,4.590702684908326,0.1767600642385464,2.828693246712252,0.19256842896157553,2.5964796134872574,0.19256842896157553,2.5964796134872574,0.2207480132951838,2.2650260472849695
47,30.0,0.01,0.5,initial_hernquist_radius,0.2944252517842078,0.914455455357331,0.18854987120653444,2.6518183056848033,0.10075277953123728,4.962642244971322,0.14388634843686737,3.4749648276701084,0.14388634843686737,3.4749648276701084,inf,0.0
47,30.0,0.01,0.5,initial_future_feed_radius,0.914455455357331,0.914455455357331,0.5076575467372954,0.9849159206112265,0.24834510318777017,2.0133273963608502,0.46187212334006017,1.0825507207151093,0.46187212334006017,1.0825507207151093,inf,0.0
52,30.0,0.02,0.5,hernquist_radius,0.593830575603711,0.9651616453781562,0.08545239209127699,5.851211274061457,0.09985993641649418,5.007013001836975,0.12650930948483505,3.952278310869574,0.12650930948483505,3.952278310869574,0.15816711901400873,3.1612132984208645
52,30.0,0.02,0.5,inward_flux_median,0.9651616453781562,0.9651616453781562,0.14218234983899802,3.5166108913390537,0.2047100541249338,2.442478959508515,0.2830805801445616,1.7662815292545448,0.2830805801445616,1.7662815292545448,0.35077326531270103,1.4254222013022257
52,30.0,0.02,0.5,initial_hernquist_radius,0.593830575603711,0.9651616453781562,0.37040538602912,1.3498723799893442,0.17709737640842235,2.8233055177898225,0.30043847407833807,1.664234254730062,0.30043847407833807,1.664234254730062,inf,0.0
52,30.0,0.02,0.5,initial_future_feed_radius,0.9651616453781562,0.9651616453781562,0.5261313036218895,0.9503331137265516,0.2592072019738956,1.9289587488018731,0.4875260481820138,1.0255862263452418,0.4875260481820138,1.0255862263452418,inf,0.0
87,50.0,0.01,0.5,hernquist_radius,0.2944252517842078,0.914455455357331,0.030197934319036304,16.557423919052894,0.005374595675294631,93.03025384743762,0.1320107240970556,3.7875710736378885,0.1320107240970556,3.7875710736378885,0.17571374389841884,2.8455372295126384
87,50.0,0.01,0.5,inward_flux_median,0.914455455357331,0.914455455357331,0.10890181610016487,4.591291659820566,0.11282603889599023,4.431601117016346,0.2452762078414438,2.0385181440966327,0.2452762078414438,2.0385181440966327,0.21319469016118986,2.345274169924052
87,50.0,0.01,0.5,initial_hernquist_radius,0.2944252517842078,0.914455455357331,0.18854987120653444,2.6518183056848033,0.06045166771874237,8.271070408285535,0.16779555374242636,2.9798167403620375,0.16779555374242636,2.9798167403620375,inf,0.0
87,50.0,0.01,0.5,initial_future_feed_radius,0.914455455357331,0.914455455357331,0.5076575467372954,0.9849159206112265,0.14900706191266208,3.3555456606014173,0.4622918984531227,1.081567731714643,0.4622918984531227,1.081567731714643,inf,0.0
92,50.0,0.02,0.5,hernquist_radius,0.593830575603711,1.0186794733977107,0.08542540905781465,5.853059476269027,0.061560963481545876,8.122030126280999,0.16984369169477803,2.9438832553082857,0.16984369169477803,2.9438832553082857,0.1546237838147265,3.233655183339134
92,50.0,0.02,0.5,inward_flux_median,1.0186794733977107,1.0186794733977107,0.15085566260562988,3.314426461452168,0.13242895160847493,3.7756094413421453,0.3406361703941562,1.4678417721213841,0.3406361703941562,1.4678417721213841,0.3853324372339287,1.2975808722182882
92,50.0,0.02,0.5,initial_hernquist_radius,0.593830575603711,1.0186794733977107,0.37040538602912,1.3498723799893442,0.10625842584505342,4.70550919631637,0.3179316862051342,1.572664889014531,0.3179316862051342,1.572664889014531,inf,0.0
92,50.0,0.02,0.5,initial_future_feed_radius,1.0186794733977107,1.0186794733977107,0.5449417609798168,0.917529240374218,0.1623599084203156,3.0795779873539058,0.5078854298028027,0.9844739987798736,0.5078854298028027,0.9844739987798736,inf,0.0
128,100.0,0.01,1.0,hernquist_radius,0.2944252517842078,1.5686915426374495,0.029052351332457673,34.420621882084525,0.0015908612330983367,628.5903378589568,0.37021262611839567,2.701150445582576,0.37021262611839567,2.701150445582576,0.4726597710560067,2.115686718515986
128,100.0,0.01,1.0,inward_flux_median,1.5686915426374495,1.5686915426374495,0.2054555645758407,4.867232494113664,0.09628438943736024,10.385899581889857,0.6087307117282704,1.6427625232853162,0.6087307117282704,1.6427625232853162,0.42825895723676116,2.3350358074289015
128,100.0,0.01,1.0,initial_hernquist_radius,0.2944252517842078,1.5686915426374495,0.18854987120653444,5.3036366113696065,0.030225833859371186,33.08428163314214,0.27482842846568023,3.6386337671936912,0.27482842846568023,3.6386337671936912,inf,0.0
128,100.0,0.01,1.0,initial_future_feed_radius,1.5686915426374495,1.5686915426374495,0.7102190651109808,1.4080162714918634,0.11569028302653964,8.643768290986007,0.9928113699255489,1.007240680649125,0.9928113699255489,1.007240680649125,inf,0.0
132,100.0,0.02,0.5,hernquist_radius,0.593830575603711,1.0186794733977107,0.08530413099971704,5.861380851551709,0.03300182451100768,15.150677497640356,0.3162127601726425,1.581213862865671,0.3162127601726425,1.581213862865671,0.14410466698435484,3.469700256510665
132,100.0,0.02,0.5,inward_flux_median,1.0186794733977107,1.0186794733977107,0.15075645729180154,3.3166075203810927,0.06880629574859433,7.266776892435962,0.5493391638998686,0.9101845141540611,0.5493391638998686,0.9101845141540611,0.36736677622397895,1.3610376124354702
