task_id,configuration,feedback_heating_fraction,feedback_efficiency,metallicity_solar,cooling_rate_multiplier,limiter_history,transition_time_myr,reclosure_time_myr,final_bondi_to_eddington_ratio,final_sound_speed_km_s,final_gas_density_msun_pc3,final_temperature_k,final_cooling_time_myr,minimum_cooling_time_myr,retained_thermal_energy_fraction,scale_radius_expansion_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,mass_budget_residual_code
0,no_feedback_control,1.0,0.0,0.0,1.0,eddington_at_end,0.89,nan,4.530736207590778,10.0,299.87850817835096,9296.006865656973,0.004174280812783317,0.004172648331629565,0.0,1.0,1292.4485764832762,18.223773247355545,2.8066438062523957e-13
1,heating_strong,1.0,0.0001,0.0,1.0,eddington_at_end,0.9,nan,4.413741013537972,10.087515158093835,299.8785678805551,9458.401280603804,0.0028166298610768827,0.0028166298610768827,0.004347328474200091,1.0,1292.426946538446,18.214817916732997,2.9043434324194095e-13
2,heating_strong,1.0,0.0001,0.001,1.0,eddington_at_end,0.9,nan,4.4147484143699485,10.086748899414907,299.8785669841584,9456.973336278297,0.0027918794304445643,0.0027918794304445643,0.00430906825738241,1.0,1292.4272732961513,18.214952376232056,2.744471316873387e-13
3,heating_strong,1.0,0.0001,0.01,1.0,eddington_at_end,0.9,nan,4.423282811312151,10.080266068138464,299.87855993131313,9444.89668678855,0.002582509907184695,0.002582509907184695,0.003985528953321533,1.0,1292.429841112236,18.216010303037347,2.8954616482224083e-13
4,heating_strong,1.0,0.0001,0.1,1.0,eddington_at_end,0.89,nan,4.472433456092529,10.0432381823552,299.8785312704536,9376.065637084183,0.0013882839172173606,0.0013882839172173606,0.00214248261093686,1.0,1292.4402308743624,18.220309431960917,3.064215547965432e-13
5,heating_strong,1.0,0.0001,1.0,1.0,eddington_at_end,0.89,nan,4.521272238288152,10.006968342428877,299.8785116490682,9308.886224074451,0.00022315206806552723,0.00022315206806552723,0.00034460579961311725,1.0,1292.447321748,18.22325263977949,2.886579864025407e-13
6,heating_extreme,1.0,0.001,0.0,1.0,eddington_at_end,0.92,nan,4.12673957227694,10.315724648205006,299.8789077049338,9888.441915521802,0.001025854139429634,0.001025854139429634,0.001590637875073115,1.0,1292.303658850573,18.163844259924673,2.7267077484793845e-13
7,heating_extreme,1.0,0.001,0.001,1.0,eddington_at_end,0.92,nan,4.127514808545719,10.31508259847645,299.87890465343725,9887.218704698971,0.001023740483936444,0.001023740483936444,0.0015873130100826098,1.0,1292.3047862784783,18.16430198442061,2.984279490192421e-13
8,heating_extreme,1.0,0.001,0.01,1.0,eddington_at_end,0.92,nan,4.134475591982605,10.309323198815399,299.87887857756107,9876.249458678827,0.001004784907399321,0.001004784907399321,0.0015575211860519233,1.0,1292.3144027738829,18.168213365844398,2.6556534749033744e-13
9,heating_extreme,1.0,0.001,0.1,1.0,eddington_at_end,0.91,nan,4.200932111862594,10.254869213855045,299.8787184145398,9772.83640966019,0.0008259712461534624,0.0008259712461534624,0.0012781996865438496,1.0,1292.372794309212,18.192237819032645,3.4017233474514796e-13
