task_id,configuration,feedback_heating_fraction,feedback_efficiency,cooling_time_myr,ever_eddington_after_assembly,limiter_history,bondi_reclosure_time_myr,transition_time_myr,final_bondi_to_eddington_ratio,final_sound_speed_km_s,peak_sound_speed_km_s,final_density_fraction,retained_thermal_energy_fraction,final_thermal_energy_erg,cooling_loss_energy_erg,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,mass_budget_residual_code
0,mixed_threshold,0.5,7e-05,0.001,True,eddington_at_end,nan,0.9400000000000001,2.5033189991117384,10.010220761075322,10.010220761075322,0.5925038335486016,0.001498857728980515,1.829351489832151e+47,1.2186677340317065e+50,1201.4166619225716,17.56106145582108,7.434053372890048e-13
1,mixed_threshold,0.5,7e-05,0.003,True,eddington_at_end,nan,0.9400000000000001,2.4882526434550205,10.03056347820917,10.03056347820917,0.5925286061376904,0.004487064793456071,5.4759314337270706e+47,1.2149056957077312e+50,1201.4339557708024,17.559400188675465,7.398526236102043e-13
2,mixed_threshold,0.5,7e-05,0.01,True,eddington_at_end,nan,0.9500000000000001,2.437197854271194,10.100740795150003,10.100740795150003,0.5926137146416139,0.01484653316728681,1.8112548070842678e+48,1.2018724724558537e+50,1201.4931898368118,17.55369363417597,6.750155989720952e-13
3,mixed_threshold,0.5,7e-05,0.03,True,eddington_at_end,nan,0.96,2.304408868901754,10.292849517945495,10.292849517945495,0.592843999556762,0.04360912048735869,5.31556962148095e+48,1.1657566693812394e+50,1201.6520227502374,17.538259792193468,7.007727731433988e-13
4,mixed_threshold,0.5,7e-05,0.1,True,eddington_at_end,nan,1.0,1.9540870844751639,10.879732538373752,10.879732538373752,0.593523120878266,0.13514279770098325,1.6430027407005143e+49,1.051452817216263e+50,1202.107460421741,17.492802731322616,6.270539643082884e-13
5,mixed_threshold,0.5,7e-05,0.3,True,eddington_at_end,nan,1.07,1.4434448194529435,12.046136188752822,12.046136188752822,0.594773144459651,0.3334738482319561,4.034879129833924e+49,8.064657764067763e+49,1202.893628228184,17.40935832632284,6.767919558114954e-13
6,mixed_threshold,0.5,7e-05,1.0,True,transient_eddington,1.98,1.2,0.9899373359731963,13.677140430363693,13.677140430363693,0.5966324540306946,0.6482300968342078,7.787609494956266e+49,4.226040492893705e+49,1203.9131486057977,17.285780379819187,6.616929226765933e-13
7,mixed_threshold,0.5,7e-05,3.0,False,bondi_throughout,nan,nan,0.8562866673758409,14.453357810083167,14.453357810083167,0.6087701610404214,0.8497130536410993,9.7408853613387e+49,1.7228497426450538e+49,1205.2683427950656,16.494538091279193,7.309708394132031e-13
8,mixed_threshold,0.5,7e-05,inf,False,bondi_throughout,nan,nan,0.7938522126881482,14.918328029457967,14.918328029457967,0.6201925153799507,1.000000000000031,1.0962653546104e+50,0.0,1206.9072720091478,15.773559390329691,7.185363415374013e-13
9,mixed_strong,0.5,0.00014,0.001,True,eddington_at_end,nan,1.01,1.6424160098099683,10.019365952743149,10.019365952743149,0.41128676114065144,0.001467556833769262,3.467820795654545e+47,2.3595212749982166e+50,1133.0882251993146,16.999875388042383,3.517186542012496e-13
10,mixed_strong,0.5,0.00014,0.003,True,eddington_at_end,nan,1.02,1.6239740573155816,10.057867956956775,10.057867956956775,0.41135059273204666,0.004394699742503101,1.0382224511033687e+48,2.3520600626428678e+50,1133.1658250939943,16.995941523617326,3.099742684753437e-13
11,mixed_strong,0.5,0.00014,0.01,True,eddington_at_end,nan,1.03,1.5626612872000758,10.190263374603015,10.190263374603015,0.4115738172888644,0.014556436583685254,3.436092215445032e+48,2.326170239226199e+50,1133.4346207214478,16.98219245467248,3.4994229736184934e-13
12,mixed_strong,0.5,0.00014,0.03,True,eddington_at_end,nan,1.06,1.411381496899677,10.54949982262854,10.54949982262854,0.4122123654614056,0.04288765532927955,1.0100359278083465e+49,2.254070192562687e+50,1134.181415532767,16.94293086318083,3.481659405224491e-13
13,mixed_strong,0.5,0.00014,0.1,True,eddington_at_end,nan,1.2,1.0634645989993714,11.622430990281721,11.622430990281721,0.41456152218603365,0.1343790167615706,3.1379075867959576e+49,2.021326480914115e+50,1136.6489812702473,16.79935898147923,3.446132268436486e-13
