task_id,gas_regime,gas_density_msun_pc3,feedback_efficiency,feedback_eta,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,scale_radius_expansion_factor,feedback_to_binding_ratio,feedback_binding_energy_erg,bondi_limited_sample_fraction,transition_time_myr,final_bondi_to_eddington_ratio,mass_budget_residual_code,extra_dark_matter_vs_no_eddington_msun
0,transition,300.0,0.0,0.5,1412.3061290471726,1293.7331044974105,18.57302454983863,1.0,0.0,2.9255612401978377e+50,0.17647058823529413,0.89,4.5378212029493,3.6148861681795097e-13,16.8437074288413
1,transition,300.0,1e-06,0.5,1409.069175191809,1290.5175255153592,18.551649676507676,1.006276254526969,0.012591900424825078,2.9255612401978377e+50,0.17647058823529413,0.89,4.527420683164156,4.147793219999585e-13,13.628128446790015
2,transition,300.0,1e-06,1.0,1405.843534533261,1287.3132018035294,18.530332729711663,1.0125774315837188,0.012577431583718907,2.9255612401978377e+50,0.17647058823529413,0.89,4.517056513334112,3.872457909892546e-13,10.423804734960186
3,transition,300.0,3e-06,0.5,1402.6942364425108,1284.184872833318,18.509363609176486,1.018670504376796,0.037689596487276246,2.9255612401978377e+50,0.17647058823529413,0.89,4.506937636585871,3.4372504842394846e-13,7.295475764748744
4,transition,300.0,3e-06,1.0,1393.1817554165896,1274.7355414098708,18.446214006686315,1.0375610084338747,0.037561008433874776,2.9255612401978377e+50,0.17647058823529413,0.89,4.47637348536945,3.2951419370874646e-13,-2.153855658698376
5,transition,300.0,1e-05,0.5,1381.3523462545525,1262.9863657372168,18.36598051732576,1.0604993059932766,0.12465877801222125,2.9255612401978377e+50,0.17647058823529413,0.89,4.438364910167647,2.611244553918368e-13,-13.903031331352395
6,transition,300.0,1e-05,1.0,1351.4191832016443,1233.2549219999491,18.164261201687836,1.1232896116143254,0.12328961161432535,2.9255612401978377e+50,0.17647058823529413,0.89,4.342187927586353,2.220446049250313e-13,-43.63447506862008
7,transition,300.0,3e-05,0.5,1327.3265522779816,1209.3358382792142,17.990713998706582,1.168903327416274,0.36633498884483623,2.9255612401978377e+50,0.17647058823529413,0.89,4.264776912232345,5.6754601018838e-13,-67.55355878935507
8,transition,300.0,3e-05,1.0,1249.878143567542,1132.4291081521962,17.44903541532367,1.3553050865399199,0.3553050865399198,2.9255612401978377e+50,0.18382352941176472,0.9,4.015930699677831,3.623767952376511e-13,-144.46028891637297
9,eddington_saturated,3000.0,0.0,0.5,1417.578894857214,1297.7792136138316,19.79968124342655,1.0,0.0,2.9255612401978377e+50,0.0,0.65,45.54762904184525,3.801403636316536e-13,20.88981654526242
10,eddington_saturated,3000.0,1e-06,0.5,1413.7475349258134,1293.9754426004736,19.772092325255045,1.0066877737318134,0.013420273781114113,2.9255612401978377e+50,0.0,0.65,45.42452523329229,4.1744385725905886e-13,17.086045531904347
11,eddington_saturated,3000.0,1e-06,1.0,1409.930794781998,1290.1862082984067,19.744586483591583,1.0134016042382241,0.013401604238224151,2.9255612401978377e+50,0.0,0.65,45.30189116696251,4.2454928461665986e-13,13.29681122983743
12,eddington_saturated,3000.0,3e-06,0.5,1406.2100088449583,1286.4924448926527,19.71756395236761,1.0198773397935643,0.040149788224397236,2.9255612401978377e+50,0.0,0.65,45.18234016474371,3.8458125573015423e-13,9.603047824083433
13,eddington_saturated,3000.0,3e-06,1.0,1394.9693899105503,1275.3332107857511,19.63617912482961,1.0399840687877462,0.039984068787746095,2.9255612401978377e+50,0.0,0.65,44.82117258297272,3.5438318946034997e-13,-1.5561862828180892
14,eddington_saturated,3000.0,1e-05,0.5,1381.050807618154,1261.5176446682758,19.53316294993345,1.0642278932497624,0.13258100877082754,2.9255612401978377e+50,0.0,0.65,44.37396049104445,3.7836400679225335e-13,-15.371752400293417
15,eddington_saturated,3000.0,1e-05,1.0,1345.8330276744318,1226.5587850537706,19.274242620698654,1.1308235914734235,0.1308235914734236,2.9255612401978377e+50,0.0,0.65,43.24239287080588,2.3714363805993344e-13,-50.33061201479859
16,eddington_saturated,3000.0,3e-05,0.5,1317.831752923891,1198.7777801122047,19.053972811715646,1.1781279819101074,0.38798554175958166,2.9255612401978377e+50,0.0,0.65,42.342695732492544,4.1655567883935873e-13,-78.11161695636451
17,eddington_saturated,3000.0,3e-05,1.0,1227.6462257581347,1109.2805094547732,18.365716303325957,1.37397095399272,0.3739709539927201,2.9255612401978377e+50,0.0,0.65,39.44498263081515,5.870859354217828e-13,-167.608887613796
