matrix,task_id,feedback_efficiency,feedback_eta,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_black_hole_growth,final_baryon_scale_radius_pc,final_feedback_to_binding_ratio,mass_budget_residual_code,scale_radius_expansion_factor,extra_dark_matter_vs_no_eddington_msun,catalytic_dark_mass_per_baryon_mass,dark_growth_fraction_of_no_feedback,total_growth_fraction_of_no_feedback
base,0,0.0,0.5,1417.578894857214,1297.7792136138316,19.79968124342655,0.9849726788121268,0.3,0.0,3.801403636316536e-13,1.0,20.88981654526242,1.0550582248488365,1.0,1.0
base,1,1e-05,0.5,1333.7115440816697,1214.5351135192511,19.17643056238088,0.9844563093744148,0.3447483680393396,0.32057152517542153,5.631051180898794e-13,1.1491612267977989,-62.3542835493181,-3.2516105302537808,0.9358565006887599,0.9363473784356321
base,2,1e-05,1.0,1256.6368893051842,1138.0432445585636,18.593644746644944,0.9839243889603156,0.39324873629029466,0.31082912096764886,2.291500322826323e-13,1.310829120967649,-138.8461525100056,-7.4673983719657295,0.876915913446893,0.8778501946409281
base,3,0.0001,0.5,965.5460311665688,849.5483182449424,15.99771292159125,0.9815172014594475,0.575056293864477,2.6743304568127515,2.353672812205332e-13,1.91685431288159,-427.34107882362684,-26.712635794762118,0.6546169867209283,0.6569215965320756
base,4,0.0001,1.0,697.522649689579,584.0290081768503,13.493641512738197,0.977417355610304,0.9767177904934797,2.255725968311599,1.4832579608992091e-13,3.2557259683115993,-692.8603888917189,-51.34717624131695,0.45002185429565256,0.4535004712217499
base,5,0.001,0.5,447.25497195255144,337.09695875691864,10.158013195620075,0.9707476810525818,1.272123986769359,16.981104863488532,1.4299672557172016e-13,4.2404132892311965,-939.7924383116506,-92.517347655826,0.2597490815238358,0.26355535392071033
base,6,0.001,1.0,248.50629972168602,141.09957700499842,7.406722716687603,0.9501251951562428,4.014535492071162,12.381784973570541,2.673417043297377e-13,13.381784973570541,-1135.789820063571,-153.3457999588127,0.10872386884059321,0.11271150464031958
base,7,0.01,0.5,216.3924681409427,109.84124978178342,6.551218359166966,0.9437144132795068,3.153803731432206,109.51642195995227,1.9451107391432743e-13,10.51267910477402,-1167.0481472867857,-178.14215361235253,0.08463785567648018,0.08833813944291825
base,8,0.01,1.0,137.342614333874,32.317903986022614,5.024710347851338,0.8654429948871202,25.499356906420264,83.99785635473421,2.744471316873387e-13,84.99785635473421,-1244.5714930825466,-247.69019643385994,0.024902466958173334,0.028341843118184443
refinement,0,1e-07,0.5,1416.631310552653,1296.8384446260309,19.792865926663854,0.984967039923793,0.3004959048017665,0.0033087644736921485,3.339550858072471e-13,1.0016530160058885,19.949047557461654,1.0078908042613173,0.9992750931915598,0.9992808139928019
refinement,1,1e-07,1.0,1415.6846218507503,1295.8985661609254,19.786055689822614,0.9849613992888415,0.300992287802841,0.0033076260094698873,3.6859404417555197e-13,1.00330762600947,19.00916909235616,0.9607356509227828,0.9985508725727935,0.9985623077192133
refinement,2,3e-07,0.5,1414.7439119689939,1294.9646365853268,19.779275383649562,0.9849557961793144,0.30148424998357853,0.009919477646231757,3.2596148002994596e-13,1.004947499945262,18.07523951675762,0.9138474067507764,0.9978312358535415,0.9978483391778014
refinement,3,3e-07,1.0,1411.9169373969453,1292.158022397457,19.75891499954827,0.984938897855307,0.3029727800212614,0.009909266737537933,3.099742684753437e-13,1.009909266737538,15.268625328887765,0.7727461416397022,0.9956686074507838,0.9957027564099816
refinement,4,1e-06,0.5,1408.218085059286,1288.4859616148995,19.73212344441437,0.9849167935608439,0.30490777156754695,0.03298610180319315,2.993161274389422e-13,1.0163592385584899,11.596564546330228,0.5876997769144254,0.9928391116906135,0.9928954464628531
refinement,5,1e-06,1.0,1398.9443126290103,1279.279250595601,19.665062033473337,0.9848607351044881,0.3098621986634571,0.032873995544857225,3.979039320256561e-13,1.0328739955448571,2.389853527031846,0.12152789159596354,0.985744907281482,0.9858569514881133
refinement,6,3e-06,0.5,1390.2239029920122,1270.6230833788052,19.600819613158077,0.9848082030043367,0.31439939961889213,0.09829980534133154,2.753353101070388e-13,1.0479979987296404,-6.266313689764047,-0.3196965133824024,0.9790749227987657,0.9792384410740229
refinement,7,3e-06,1.0,1363.6064793080986,1244.2002679882316,19.406211319912874,0.9846422033776742,0.32919714837658437,0.09732382792194802,1.4033219031261979e-13,1.097323827921948,-32.68912908033758,-1.6844673358160844,0.9587148992189491,0.9590366726730514
