task_id,design,axis,axis_value,model_label,cross_section_model,sigma0_over_m_cm2_g,velocity_scale_km_s,halo_mass_msun,halo_redshift,halo_concentration,black_hole_seed_msun,scale_radius_over_rs,assembly_time_myr,initial_dynamical_time_myr,assembly_over_dynamical_time,r_min_over_reference_influence,cells,final_black_hole_mass_msun,growth_factor,reaches_1e7,time_to_1e7_msun_myr,dark_fraction_of_growth,initial_inner_lmfp_effective_sigma_cm2_g,final_inner_lmfp_effective_sigma_cm2_g,initial_inner_smfp_effective_sigma_cm2_g,final_inner_smfp_effective_sigma_cm2_g,mass_budget_residual_code,steps
0,main_effect,baseline,0.0,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,8.0,100000.0,0.02,1.25,0.4701314950984624,2.658830588957256,0.20833333333333334,256,16849996.97982746,168.4999697982746,True,1.53,0.9881348462183073,1.0,1.0,1.0,1.0,2.2710722191732202e-12,11013352
1,main_effect,halo_mass_msun,100000000.0,constant_sigma1,constant,1.0,0.0,100000000.0,30.0,8.0,100000.0,0.02,1.25,0.4460527007069999,2.802359447703673,0.20833333333333334,213,2115397.93188523,21.1539793188523,False,nan,0.9803133842623721,1.0,1.0,1.0,1.0,2.3092638912203256e-14,623524
2,main_effect,halo_mass_msun,300000000.0,constant_sigma1,constant,1.0,0.0,300000000.0,30.0,8.0,100000.0,0.02,1.25,0.4635165422742499,2.6967753812342035,0.20833333333333334,234,5687655.413817327,56.87655413817327,False,nan,0.9832711303687367,1.0,1.0,1.0,1.0,3.312905505481467e-13,2559017
3,main_effect,halo_mass_msun,3000000000.0,constant_sigma1,constant,1.0,0.0,3000000000.0,30.0,8.0,100000.0,0.02,1.25,0.4720741072366319,2.647889347960838,0.20833333333333334,276,22674649.653981816,226.74649653981817,True,1.79,0.9947927813053496,1.0,1.0,1.0,1.0,3.426592343203083e-12,23625352
4,main_effect,halo_mass_msun,10000000000.0,constant_sigma1,constant,1.0,0.0,10000000000.0,30.0,8.0,100000.0,0.02,1.25,0.4727597322421786,2.6440492172875416,0.20833333333333334,299,162263.94447142462,1.6226394447142463,False,nan,0.9711360831605332,1.0,1.0,1.0,1.0,7.484679542812955e-12,31645407
5,main_effect,halo_redshift,15.0,constant_sigma1,constant,1.0,0.0,1000000000.0,15.0,8.0,100000.0,0.02,1.25,1.2676008115224375,0.9861148625320788,0.20833333333333334,256,4751394.948945989,47.51394948945989,False,nan,0.9893944050073777,1.0,1.0,1.0,1.0,5.275779813018744e-13,2269664
6,main_effect,halo_redshift,20.0,constant_sigma1,constant,1.0,0.0,1000000000.0,20.0,8.0,100000.0,0.02,1.25,0.843136347834023,1.4825597345093593,0.20833333333333334,256,8678962.09757317,86.78962097573171,False,nan,0.9890624636851725,1.0,1.0,1.0,1.0,3.0739855105821334e-12,4438077
7,main_effect,halo_redshift,25.0,constant_sigma1,constant,1.0,0.0,1000000000.0,25.0,8.0,100000.0,0.02,1.25,0.6120555640759183,2.042298237885069,0.20833333333333334,256,12795605.167988652,127.95605167988653,True,1.75,0.9885648121854337,1.0,1.0,1.0,1.0,4.149569576838985e-12,7370983
8,main_effect,halo_concentration,4.0,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,4.0,100000.0,0.02,1.25,1.0483807455636656,1.192314915444134,0.20833333333333334,256,4487425.679040512,44.87425679040512,False,nan,0.9910410420236464,1.0,1.0,1.0,1.0,1.2660983372825285e-12,5387791
9,main_effect,halo_concentration,6.0,constant_sigma1,constant,1.0,0.0,1000000000.0,30.0,6.0,100000.0,0.02,1.25,0.6609746672043245,1.8911466082157615,0.20833333333333334,256,11591759.864082674,115.91759864082674,True,1.87,0.9899276289070681,1.0,1.0,1.0,1.0,3.4723335318176396e-12,8480229
