source_task_id,design,axis,model_label,halo_mass_msun,halo_redshift,halo_concentration,black_hole_seed_msun,scale_radius_over_rs,assembly_time_myr,assembly_over_dynamical_time,screen_final_mass_msun,small_boundary_final_mass_msun,grid_final_mass_msun,boundary_relative_difference,grid_relative_difference,terminal_mass_passes_five_percent,threshold_classification,small_boundary_time_to_1e7_msun_myr
6,main_effect,halo_redshift,constant_sigma1,1000000000.0,20.0,8.0,100000.0,0.02,1.25,1.4825597345093593,8678962.09757317,7132020.435119202,8714758.12025631,0.19567938415659575,0.0041159708486568705,False,robust_failure,nan
7,main_effect,halo_redshift,constant_sigma1,1000000000.0,25.0,8.0,100000.0,0.02,1.25,2.042298237885069,12795605.167988652,11414316.586096955,nan,0.11410929749565125,nan,False,robust_success,1.8800000000000001
9,main_effect,halo_concentration,constant_sigma1,1000000000.0,30.0,6.0,100000.0,0.02,1.25,1.8911466082157615,11591759.864082674,9856829.238037705,11641992.3939241,0.1617757343184364,0.004324099636047012,False,boundary_ambiguous,nan
19,main_effect,scale_radius_over_rs,constant_sigma1,1000000000.0,30.0,8.0,100000.0,0.01,1.25,4.00887650306842,15139363.856436318,14355318.443587,nan,0.05316520482396912,nan,False,robust_success,1.49
20,main_effect,scale_radius_over_rs,constant_sigma1,1000000000.0,30.0,8.0,100000.0,0.04,1.25,1.714787919445364,9978906.427431727,5493150.502246068,10075944.298680445,0.5798525620186009,0.009677246923844852,False,robust_failure,nan
23,main_effect,assembly_time_myr,constant_sigma1,1000000000.0,30.0,8.0,100000.0,0.02,0.5,1.0635322355829022,16280308.69833258,15203762.652925251,nan,0.06838671107028343,nan,False,robust_success,1.57
26,main_effect,assembly_time_myr,constant_sigma1,1000000000.0,30.0,8.0,100000.0,0.02,1.5,3.190596706748707,16260213.031983158,14939384.923769342,nan,0.08466955953003139,nan,False,robust_success,1.71
27,main_effect,assembly_time_myr,constant_sigma1,1000000000.0,30.0,8.0,100000.0,0.02,1.75,3.722362824540158,15313851.46782057,13929436.482544499,nan,0.09468258067463912,nan,False,robust_success,1.78
32,latin_hypercube,joint,constant_sigma1,727920048.1819899,18.12362802015318,10.32921357912742,64763.56789132588,0.006973562442957025,1.5097133127601117,3.976407597601751,121552.57599787311,6242646.662704508,nan,1.9236022811739268,nan,False,robust_failure,nan
38,latin_hypercube,joint,constant_sigma1,2286887832.3124833,29.348556121200808,4.094957314804988,85823.71165173,0.016472245098852506,1.0380407214356973,1.100850775976592,3219326.6685366984,1247153.7084297983,nan,0.8830993505657546,nan,False,robust_failure,nan
39,latin_hypercube,joint,constant_sigma1,659437543.7726965,24.83430414288211,7.376089219015792,43238.11171977849,0.04826468481077741,0.7864664338252743,0.6552901253803666,107161.61291131824,1090338.4140470256,nan,1.6420489002125227,nan,False,robust_failure,nan
