task_id,halo_redshift,baryon_fraction,scale_radius_over_rs,assembly_time_myr,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,mass_budget_residual_code,steps
0,10.0,0.01,0.003,0.2,591286.3732759719,5.912863732759718,479499.6015625046,11786.771713481023,0.9760083479725454,4.884981308350689e-14,756847
1,10.0,0.01,0.003,0.65,591486.4403714751,5.914864403714751,479899.77485028235,11586.665521234152,0.9764252590316932,3.9968028886505635e-14,737821
2,10.0,0.01,0.003,1.5,497377.21235690266,4.973772123569026,387932.77433188487,9444.438025017707,0.9762330658846755,1.687538997430238e-14,659075
3,10.0,0.01,0.01,0.2,345177.5353159966,3.451775353159966,237320.91640787176,7856.618908118935,0.9679553883352369,4.3520742565306136e-14,582842
4,10.0,0.01,0.01,0.65,338136.4946961412,3.381364946961412,230496.4349596128,7640.059736529034,0.9679173083223677,2.7533531010703882e-14,572041
5,10.0,0.01,0.01,1.5,277114.889023082,2.77114889023082,170618.48272083068,6496.406302244672,0.9633209475607403,2.7533531010703882e-14,528010
6,10.0,0.01,0.03,0.2,193469.79331836873,1.9346979331836873,87675.52628623268,5794.26703212844,0.9380092024767818,1.509903313490213e-14,494720
7,10.0,0.01,0.03,0.65,181852.03330577043,1.8185203330577042,76346.70116862941,5505.332137140407,0.9327404352122197,1.687538997430238e-14,483073
8,10.0,0.01,0.03,1.5,162099.85909377507,1.6209985909377507,56982.51319227652,5117.345901498062,0.9175948870709835,2.398081733190338e-14,467607
9,10.0,0.05,0.003,0.2,1053297.637685161,10.532976376851611,934867.9215131025,18429.716172050135,0.9806674060193724,1.7852386235972517e-13,1155817
10,10.0,0.05,0.003,0.65,1118449.2803396361,11.184492803396362,999262.9648170844,19186.315522603618,0.9811612459324892,6.838973831690964e-14,1117163
11,10.0,0.05,0.003,1.5,1056246.1202831508,10.562461202831509,939529.0434534074,16717.07682974159,0.9825180186615623,1.5631940186722204e-13,986735
12,10.0,0.05,0.01,0.2,411916.6080095889,4.119166080095889,303519.8581385024,8396.749871079637,0.973080144963527,8.526512829121202e-14,666735
13,10.0,0.05,0.01,0.65,491162.0004392943,4.911620004392943,381569.2290761365,9592.77136313203,0.9754762186705644,7.194245199571014e-14,684598
14,10.0,0.05,0.01,1.5,502763.5577171806,5.0276355771718055,393485.93780788727,9277.619909313971,0.9769650959439383,7.105427357601002e-14,652166
15,10.0,0.05,0.03,0.2,216725.5133515186,2.167255133515186,110564.01631364287,6161.497037876488,0.9472137936175068,6.838973831690964e-14,529499
16,10.0,0.05,0.03,0.65,236466.93394961537,2.3646693394961535,130042.31715031466,6424.616799304421,0.9529218059396518,8.526512829121202e-14,535548
