task_id,halo_redshift,assembly_time_myr,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,mass_budget_residual_code,steps
0,20.0,1.0,3638241.915269523,3479537.3786451463,58704.53662391454,0.9834085576876377,5.684341886080801e-13,5140853
1,20.0,1.25,3705297.7855519266,3548436.777365007,56861.00818724721,0.9842284849770836,7.434053372890048e-13,4936706
2,20.0,1.5,3674406.1355397888,3520558.208824343,53847.926715691356,0.9849351403635855,1.2443379659998755e-12,4712061
3,20.0,1.75,3565514.7867212715,3415281.969692885,50232.8170285537,0.9855049480034359,9.71667191151937e-13,4478471
4,20.0,2.0,3396741.9808206204,3250306.448525318,46435.532295325094,0.9859147204829952,1.2754242106893798e-12,4243889
5,30.0,1.0,6782561.222458339,6573244.375675467,109316.84678432102,0.9836414747065112,5.098144129078719e-13,10998617
6,30.0,1.25,7008083.520188078,6802104.29590646,105979.22428055588,0.9846586648855784,4.654054919228656e-13,10573868
7,30.0,1.5,6956695.707989473,6757414.091040134,99281.61694961769,0.9855204866633275,8.72191208145523e-13,10067590
8,30.0,1.75,6691206.946347807,6500297.724275307,90909.22207269934,0.9862074999597953,9.912071163853398e-13,9525179
9,30.0,2.0,6272992.152388658,6090904.669822237,82087.48256520151,0.986702156662445,1.2114753644709708e-12,8977375
