task_id,black_hole_seed_msun,reference_r_min_over_influence,dark_bondi_lambda,final_black_hole_mass_msun,growth_factor,dark_matter_accreted_msun,dark_capture_fraction,time_to_1e7_msun_myr,mass_budget_residual_code,steps
0,100.0,0.05208333333333334,0.2,102.58650139180416,1.0258650139180416,2.585574261832612,0.00018269532693398729,nan,4.0589753780295723e-13,7041411
1,100.0,0.05208333333333334,0.3,103.9300613428713,1.039300613428713,3.929110694037339,0.000277628905674682,nan,4.0323300254385686e-13,7041411
2,1000.0,0.05208333333333334,0.2,1089.650576342751,1.089650576342751,89.54791487413704,0.0016973019071071886,nan,8.86402062860725e-13,7550783
3,1000.0,0.05208333333333334,0.3,1113.2622611158079,1.1132622611158078,113.15624745079026,0.0021447753130699305,nan,8.384404281969182e-13,7550784
4,10000.0,0.05208333333333334,0.2,15587.641721575792,1.5587641721575791,5568.705053392762,0.0008265817185072155,nan,2.107647389948397e-12,23766574
5,10000.0,0.05208333333333334,0.3,19052.30482102489,1.9052304821024888,9026.286750178537,0.0013397164359914954,nan,1.311839525897085e-12,23767333
6,30000.0,0.10416666666666667,0.2,58383.949641035404,1.9461316547011802,28125.322812359573,0.001856838266962306,nan,1.2728484932722495e-11,21760081
7,30000.0,0.10416666666666667,0.3,83770.347552297,2.7923449184099,53293.2870170583,0.00351839801955851,nan,1.5444534540165478e-11,21761210
8,40000.0,0.10416666666666667,0.2,85470.01550319667,2.1367503875799168,44945.004016408566,0.0029451527417919663,nan,6.0751403907488566e-12,23092109
9,40000.0,0.10416666666666667,0.3,15422865.860698378,385.57164651745944,15249507.47257363,0.9999999999999999,1.71,6.122213846992963e-12,23180840
