task_id,configuration,gas_regime,gas_density_msun_pc3,assembly_time_myr,feedback_efficiency,feedback_heating_fraction,metallicity_solar,final_black_hole_mass_msun,ceiling_mass_retention_fraction,matched_mass_retention_fraction,dark_matter_accreted_msun,dark_accretion_retention_fraction,matched_dark_retention_fraction,baryon_accreted_onto_bh_msun,limiter_history,first_eddington_time_myr,final_bondi_to_eddington_ratio,final_density_fraction,final_sound_speed_km_s,scale_radius_expansion_factor,feedback_binding_energy_erg,expansion_feedback_to_binding_ratio,total_feedback_to_binding_ratio,retained_thermal_energy_fraction,minimum_cooling_time_myr,mass_budget_residual_code,steps
0,mixed_sweep,transition,0.3,1.25,0.0,0.5,0.0,7001893.267172931,0.9991166981675782,0.9991166981675782,6798130.492955946,0.9994157979975542,0.9994157979975542,103762.77421859017,eddington_at_end,0.58,22.48127654972351,0.9992794251790377,10.0,1.0,1.0560858575299951e+57,0.0,0.0,0.0,4.173357026702372,5.364597654988756e-13,10567843
1,mixed_sweep,transition,0.3,1.25,1e-05,0.5,0.0,7001814.1934278095,0.9991054149480084,0.9991054149480084,6798064.215591729,0.9994060543415716,0.9994060543415716,103749.97783495307,eddington_at_end,0.59,18.794992160175386,0.999133329307723,10.614596064082821,1.0000487681346346,1.0560858575299951e+57,9.753864760010897e-05,0.0001950772952002334,0.35193071102223594,0.27667457527527206,6.590283874174929e-13,10567774
2,mixed_sweep,transition,0.3,1.25,3e-05,0.5,0.0,7001654.800870504,0.9990826708473073,0.9990826708473073,6797930.954267832,0.9993864631506548,0.9993864631506548,103723.84660160392,eddington_at_end,0.59,17.777368684623834,0.9988413585193705,10.81225026603149,1.0001462604251412,1.0560858575299951e+57,0.0002925422423944153,0.0005850844847888426,0.15656319927928367,0.11828526077421937,6.066258606551855e-13,10567633
3,mixed_sweep,transition,0.3,1.25,0.0001,0.5,0.0,7001086.291494234,0.9990015489008247,0.9990015489008247,6797458.685721986,0.9993170333793221,0.9993170333793221,103627.60577322057,eddington_at_end,0.61,16.68172585049307,0.9978218377957776,11.039904854138536,1.0004869994244818,1.0560858575299951e+57,0.0009742360174031103,0.0019484720348061048,0.06084751655514073,0.04537513081194652,8.251177519014163e-13,10567124
4,mixed_sweep,transition,0.3,1.25,0.0003,0.5,0.0,6999617.02096055,0.9987918952159832,0.9987918952159832,6796208.728656993,0.9991332730294925,0.9991332730294925,103408.29230211175,eddington_at_end,0.64,15.381360182316229,0.9949261280701723,11.330862504994796,1.0014571995574884,1.0560858575299951e+57,0.0029165225455268485,0.005833045091054106,0.026372214036166627,0.019492656099836688,7.691625114603085e-13,10565802
5,mixed_sweep,transition,0.3,1.25,0.001,0.5,0.0,6995838.977197022,0.9982527972225526,0.9982527972225526,6792686.58078001,0.9986154703431822,0.9986154703431822,103152.39641574677,eddington_at_end,0.65,13.913899124997673,0.9849217938810717,11.674467468488771,1.0048371431400367,1.0560858575299951e+57,0.009697684233830745,0.019395368467660462,0.010139772417039209,0.007467562287558898,1.198152688175469e-12,10562121
6,mixed_sweep,transition,0.3,1.25,0.003,0.5,0.0,6986371.62820301,0.996901878820005,0.996901878820005,6783495.034437299,0.997264190512286,0.997264190512286,102876.59376520087,eddington_at_end,0.67,12.228175910300543,0.9573194745129932,12.067625162111739,1.0144038966079707,1.0560858575299951e+57,0.029015265453434264,0.05803053090686858,0.004260619861341657,0.0031241877216433883,1.951327988081175e-12,10552631
7,mixed_sweep,transition,0.3,1.25,0.01,0.5,0.0,6955482.913577882,0.9924942951295214,0.9924942951295214,6753147.880494847,0.992802754371015,0.992802754371015,102335.03308205068,eddington_at_end,0.6900000000000001,9.220326833389892,0.870665945802334,12.826761579629782,1.0469997197334509,1.0560858575299951e+57,0.0962084131219247,0.19241682624384804,0.00181716345559522,0.0013143580588109885,5.426770144367765e-13,10521483
8,timing_control,transition,0.3,1.0,0.0,0.5,0.0,6777900.170056714,0.9671545937675715,0.9993127887462052,6570353.110316066,0.9659294865958079,0.9995601463761031,107547.05974119852,eddington_at_end,0.5,21.761520069931976,0.9992531454184638,10.0,1.0,1.0560858575299951e+57,0.0,0.0,0.0,4.173041285776841,1.2017054018542694e-12,10993932
9,timing_control,transition,0.3,1.0,0.001,0.5,0.0,6772859.128841288,0.9664352756828336,0.9985695531085034,6565763.380276869,0.9652547351013389,0.9988619021337041,107095.74856529586,eddington_at_end,0.56,13.494702047989511,0.9843526215067676,11.665212654701413,1.0050215974232488,1.0560858575299951e+57,0.010068411287178817,0.020136822574361144,0.009708025435710305,0.007666258082826556,9.094947017729282e-13,10988095
10,timing_control,transition,0.3,1.0,0.01,0.5,0.0,6737378.956753059,0.9613725260757517,0.9933384654817898,6531004.596522659,0.9601447305730155,0.9935739831445918,106374.36022915682,eddington_at_end,0.6,8.919140528741364,0.8661368855929086,12.810252194743686,1.0488116669818535,1.0560858575299951e+57,0.10000591279725411,0.20001182559454458,0.0017366451038312919,0.001347787378568884,9.992007221626409e-13,10944183
11,timing_control,transition,0.3,1.5,0.0,0.5,0.0,6948923.153835003,0.9915582675088485,0.9988827232811774,6752308.124929629,0.9926792991094244,0.9992443905254711,96615.02890497366,eddington_at_end,0.66,22.31231141611983,0.9993290622992711,10.0,1.0,1.0560858575299951e+57,0.0,0.0,0.0,4.173768902959143,2.4149571231646405e-12,10060183
12,timing_control,transition,0.3,1.5,0.001,0.5,0.0,6942197.950350269,0.9905986323296498,0.997915999456099,6746358.152915572,0.991804573913335,0.9983638803282424,95839.79743397782,eddington_at_end,0.74,13.831304167759532,0.9859786708862062,11.67185738573639,1.0044949992859364,1.0560858575299951e+57,0.009010203590452839,0.01802040718090677,0.010895669561736598,0.007513766574802573,1.751487843648647e-12,10054694
