task_id,axis,axis_value,halo_concentration,sigma_over_m_cm2_g,baryon_fraction,scale_radius_over_rs,r_min_over_rs,r_min_over_influence,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_msun,first_eddington_time_myr,final_bondi_to_eddington_ratio,scale_radius_expansion_factor,mass_budget_residual_code,steps
0,baseline,0.0,8.0,10.0,0.16,0.003,0.00016666666666666666,0.2083333333333333,6995838.977197022,6792686.58078001,103152.39641574677,0.65,13.913899124997673,1.0048371431400367,1.198152688175469e-12,10562121
1,concentration,3.0,3.0,10.0,0.16,0.003,6.25e-05,0.20833333333333331,1569276.042123965,1449159.7552606177,20116.286863329122,1.03,3.5145939548538796,1.0023273033506508,3.1752378504279477e-13,5209767
2,concentration,4.0,4.0,10.0,0.16,0.003,8.333333333333333e-05,0.2083333333333333,2375288.3136829,2243835.9923351845,31452.321347717814,0.9,5.153864322424472,1.0028175763792941,3.859135233597044e-13,6319139
3,concentration,5.0,5.0,10.0,0.16,0.003,0.00010416666666666667,0.20833333333333331,3281626.8558798134,3136655.996399127,44970.85948030924,0.81,6.942628677334027,1.003283416892748,4.525269048372138e-13,7392676
4,concentration,6.0,6.0,10.0,0.16,0.003,0.000125,0.20833333333333331,4322079.677896172,4161038.976734073,61040.70116265549,0.75,8.94473613315046,1.0037595508668475,1.3216094885137863e-12,8447373
5,concentration,10.0,10.0,10.0,0.16,0.003,0.00020833333333333335,0.20833333333333331,10871295.57526425,10607560.999022687,163734.57624298404,0.59,20.81256627664162,1.0061967417998972,6.3860028376439e-13,12769482
6,concentration,12.0,12.0,10.0,0.16,0.003,0.00025,0.20833333333333331,16583315.270064788,16232759.669692881,250555.60037728507,0.54,30.54853795195076,1.007946440720196,1.2088108292118704e-12,15149706
7,cross_section,0.01,8.0,0.01,0.16,0.003,0.00016666666666666666,0.2083333333333333,2288210.6502695526,2133990.9076688364,54219.74260045774,0.61,4.980750784970066,1.0025454454122888,1.6413537196058314e-12,8153018
8,cross_section,0.03,8.0,0.03,0.16,0.003,0.00016666666666666666,0.2083333333333333,2561434.7435071543,2400338.77299725,61095.97050999852,0.58,5.523937783763499,1.002867800924223,1.1244338793403585e-12,9050165
9,cross_section,0.1,8.0,0.1,0.16,0.003,0.00016666666666666666,0.2083333333333333,3570727.4672432425,3387549.6749816285,83177.79226109853,0.53,7.489257300357015,1.003902290210509,3.942624005048856e-12,12280694
10,cross_section,0.3,8.0,0.3,0.16,0.003,0.00016666666666666666,0.2083333333333333,5194082.628430218,4971591.689408995,122490.93902105068,0.49,10.530233079640732,1.0057413991739588,5.453415496958769e-12,13194211
11,cross_section,1.0,8.0,1.0,0.16,0.003,0.00016666666666666666,0.2083333333333333,8200185.779256321,7937158.172076126,163027.60717895726,0.53,15.963145301104566,1.0076342306935808,2.780886632081092e-12,12301323
12,cross_section,3.0,8.0,3.0,0.16,0.003,0.00016666666666666666,0.2083333333333333,8087464.822808296,7856089.031240541,131375.79156616112,0.61,15.83936431075995,1.0061565758887718,1.1759482276829658e-12,11344669
13,cross_section,30.0,8.0,30.0,0.16,0.003,0.00016666666666666666,0.2083333333333333,6531178.335873894,6337824.312992994,93354.02288033656,0.67,13.077316918365282,1.0043786676517117,1.9735324485736783e-12,10290477
14,cross_section,100.0,8.0,100.0,0.16,0.003,0.00016666666666666666,0.2083333333333333,6327467.517033131,6138077.572853989,89389.94417947282,0.68,12.707591287456315,1.0041931250569256,1.4450662888521038e-12,10175384
15,scale_radius,0.0005,8.0,10.0,0.16,0.0005,0.00016666666666666666,0.2083333333333333,12900738.272746496,12530361.57665686,270376.69609067345,0.47000000000000003,24.666806088472665,1.0022622868678535,3.7410075037769275e-12,23105986
16,scale_radius,0.001,8.0,10.0,0.16,0.001,0.00016666666666666666,0.2083333333333333,8997833.166141763,8730623.50267891,167209.66345944983,0.54,17.667490958142128,1.0027589409087316,6.196820834247774e-12,16607769
17,scale_radius,0.0015,8.0,10.0,0.16,0.0015,0.00016666666666666666,0.2083333333333333,8058938.2522229925,7821466.243026679,137472.00919613402,0.58,15.92946953954497,1.0033554162942686,8.109068971862143e-13,13912920
18,scale_radius,0.002,8.0,10.0,0.16,0.002,0.00016666666666666666,0.2083333333333333,7596513.455547594,7374608.778036776,121904.6775106322,0.61,15.057395596572793,1.0039134756050767,1.6271428648906294e-12,12366180
