task_id,model,axis,axis_value,halo_concentration,sigma_over_m_cm2_g,scale_radius_over_rs,inner_boundary,grid,cfl,entropy_fix,baryon_scale_radius_over_r_min,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_msun,mass_budget_residual_code,steps
0,representative,baseline,0.0,8.0,1.0,0.003,0.20833333333333334,256,0.2,0.1,18.0,8200185.779256175,7937158.172075979,163027.60717895438,2.780886632081092e-12,12301323
1,representative,grid,128.0,8.0,1.0,0.003,0.20833333333333334,128,0.2,0.1,18.0,8122050.452304464,7861201.320210166,160849.13209439366,6.510347816401918e-13,5898363
2,representative,grid,192.0,8.0,1.0,0.003,0.20833333333333334,192,0.2,0.1,18.0,8176250.987157459,7913877.331519023,162373.65563749816,1.1883827255587676e-12,9099830
3,representative,grid,384.0,8.0,1.0,0.003,0.20833333333333334,384,0.2,0.1,18.0,8220531.604579498,7956932.852607411,163598.75197350731,2.5011104298755527e-12,18703899
4,representative,grid,512.0,8.0,1.0,0.003,0.20833333333333334,512,0.2,0.1,18.0,8229085.498973544,7965234.827836988,163850.6711340328,3.752553823233029e-12,25105920
6,representative,inner_boundary,0.05208333333333334,8.0,1.0,0.003,0.05208333333333334,282,0.2,0.1,71.99999999999999,7603413.006878379,7361942.962293052,141470.04458805328,4.206057724331913e-11,83319477
7,representative,inner_boundary,0.10416666666666667,8.0,1.0,0.003,0.10416666666666667,269,0.2,0.1,36.0,7853609.374655683,7602604.211012298,151005.16364342681,5.46140910273607e-12,31585037
8,representative,inner_boundary,0.4166666666666667,8.0,1.0,0.003,0.4166666666666667,243,0.2,0.1,9.0,8793203.592298822,8512613.764874334,180589.82742568574,2.913225216616411e-13,5175111
9,representative,cfl,0.1,8.0,1.0,0.003,0.20833333333333334,256,0.1,0.1,18.0,8200197.465756106,7937169.901436696,163027.56431700542,3.4843239404835913e-12,24602407
10,representative,cfl,0.3,8.0,1.0,0.003,0.20833333333333334,256,0.3,0.1,18.0,8200174.056793845,7937146.406987989,163027.64980420948,1.1572964808692632e-12,8200979
11,representative,entropy_fix,0.0,8.0,1.0,0.003,0.20833333333333334,256,0.2,0.0,18.0,8200189.281262675,7937161.667737348,163027.61352720196,2.822631017806998e-12,12301365
12,representative,entropy_fix,0.05,8.0,1.0,0.003,0.20833333333333334,256,0.2,0.05,18.0,8200187.980178089,7937160.368198137,163027.61197992958,2.9114488597770105e-12,12301356
13,representative,entropy_fix,0.2,8.0,1.0,0.003,0.20833333333333334,256,0.2,0.2,18.0,8200175.588142539,7937148.057188224,163027.5309525505,2.9398705692074145e-12,12301151
14,resolved_high,baseline,0.0,12.0,100.0,0.003,0.20833333333333334,256,0.2,0.1,12.0,21957071.90099782,21563831.13820573,293240.76279183896,1.7363888105137448e-12,15681056
15,resolved_high,grid,128.0,12.0,100.0,0.003,0.20833333333333334,128,0.2,0.1,12.0,22657206.791736662,22266597.77752014,290609.01421874843,1.723066134218243e-13,7541564
16,resolved_high,grid,192.0,12.0,100.0,0.003,0.20833333333333334,192,0.2,0.1,12.0,21912188.194835704,21521308.996185992,290879.1986506697,2.1511681325137033e-12,11592813
17,resolved_high,grid,384.0,12.0,100.0,0.003,0.20833333333333334,384,0.2,0.1,12.0,22104906.782806326,21708944.918350708,295961.8644518598,1.4983569940341113e-12,23876316
18,resolved_high,grid,512.0,12.0,100.0,0.003,0.20833333333333334,512,0.2,0.1,12.0,22231357.862228014,21833722.690073393,297635.17216284684,1.7834622667578515e-12,32093839
19,resolved_high,inner_boundary,0.02604166666666667,12.0,100.0,0.003,0.02604166666666667,295,0.2,0.1,95.99999999999999,3024847.3026270266,2884369.4341407185,40477.86848588002,9.369838238626471e-11,133521818
20,resolved_high,inner_boundary,0.05208333333333334,12.0,100.0,0.003,0.05208333333333334,282,0.2,0.1,47.99999999999999,5845530.909862722,5670706.003862717,74824.90599962995,9.57633972120675e-12,63473780
21,resolved_high,inner_boundary,0.10416666666666667,12.0,100.0,0.003,0.10416666666666667,269,0.2,0.1,24.0,11404808.389968643,11158109.7486703,146698.64129938238,4.3085535139653075e-12,31269979
22,resolved_high,inner_boundary,0.4166666666666667,12.0,100.0,0.003,0.4166666666666667,243,0.2,0.1,6.0,40750803.24355546,40075591.33654934,575211.907004374,6.163958232718869e-13,7864157
23,resolved_high,cfl,0.1,12.0,100.0,0.003,0.20833333333333334,256,0.1,0.1,12.0,21957071.26474212,21563830.65541045,293240.6093301299,6.09823302966106e-12,31362009
24,resolved_high,cfl,0.3,12.0,100.0,0.003,0.20833333333333334,256,0.3,0.1,12.0,21957072.51163717,21563831.596221443,293240.91541370994,1.1546319456101628e-12,10454070
25,resolved_high,entropy_fix,0.0,12.0,100.0,0.003,0.20833333333333334,256,0.2,0.0,12.0,21959243.759418473,21565974.142235257,293269.61718523037,1.4788170688007085e-12,15681544
26,resolved_high,entropy_fix,0.05,12.0,100.0,0.003,0.20833333333333334,256,0.2,0.05,12.0,21958752.846353255,21565490.066907756,293262.7794418821,1.5925039065223245e-12,15681422
27,resolved_high,entropy_fix,0.2,12.0,100.0,0.003,0.20833333333333334,256,0.2,0.2,12.0,21948935.485254522,21555792.605574064,293142.8796799697,1.9895196601282805e-12,15679425
28,extreme,baseline,0.0,12.0,100.0,0.0005,0.20833333333333334,256,0.2,0.1,2.0,88890176.45502855,87406802.11295909,1383374.3420653823,5.170974759494129e-12,36492424
29,extreme,grid,128.0,12.0,100.0,0.0005,0.20833333333333334,128,0.2,0.1,2.0,86891803.41663429,85432060.58089975,1359742.835729766,4.6842529854984605e-12,17551901
30,extreme,grid,192.0,12.0,100.0,0.0005,0.20833333333333334,192,0.2,0.1,2.0,88132595.18520625,86658706.05438896,1373889.130847449,7.793765632868599e-12,27006280
31,extreme,grid,384.0,12.0,100.0,0.0005,0.20833333333333334,384,0.2,0.1,2.0,89453916.3372038,87963557.5896657,1390358.7475309481,6.647127293035737e-12,55456628
32,extreme,grid,512.0,12.0,100.0,0.0005,0.20833333333333334,512,0.2,0.1,2.0,89840027.4186747,88345192.93257783,1394834.4861056951,1.2294165685489133e-11,74457048
34,extreme,inner_boundary,0.05208333333333334,12.0,100.0,0.0005,0.05208333333333334,282,0.2,0.1,7.999999999999999,30811872.405498486,30284066.497986265,427805.9075122265,3.540101545240759e-11,154191674
35,extreme,inner_boundary,0.10416666666666667,12.0,100.0,0.0005,0.10416666666666667,269,0.2,0.1,4.0,55104038.60005219,54195477.283782646,808561.3162732926,1.4334311515540321e-11,76304922
36,extreme,inner_boundary,0.4166666666666667,12.0,100.0,0.0005,0.4166666666666667,243,0.2,0.1,1.0,123884858.34055312,121765284.28616536,2019574.0544069803,1.0969003483296547e-12,16403977
37,extreme,cfl,0.1,12.0,100.0,0.0005,0.20833333333333334,256,0.1,0.1,2.0,88890188.182113,87406813.53786641,1383374.6442453652,2.5799806735449238e-11,72984753
38,extreme,cfl,0.3,12.0,100.0,0.0005,0.20833333333333334,256,0.3,0.1,2.0,88890164.78962448,87406790.74914294,1383374.040481472,1.3020695632803836e-12,24328311
39,extreme,entropy_fix,0.0,12.0,100.0,0.0005,0.20833333333333334,256,0.2,0.0,2.0,88898812.04128322,87415265.3313304,1383546.7099511963,5.2304827136140375e-12,36493820
40,extreme,entropy_fix,0.05,12.0,100.0,0.0005,0.20833333333333334,256,0.2,0.05,2.0,88896436.82555848,87412939.61614268,1383497.2093987924,5.258016244624741e-12,36493425
41,extreme,entropy_fix,0.2,12.0,100.0,0.0005,0.20833333333333334,256,0.2,0.2,2.0,88866971.80830991,87384021.08975658,1382950.7185624214,5.870859354217828e-12,36489032
