task_id,halo_concentration,sigma_over_m_cm2_g,scale_radius_over_rs,r_min_over_influence,baryon_scale_radius_over_r_min,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_msun,scale_radius_expansion_factor,mass_budget_residual_code,steps
0,6.0,0.3,0.0005,0.20833333333333331,4.0,3288358.4026371883,3121282.277779554,67076.12485715942,1.0007467699314325,6.302514066192089e-12,26383315
1,6.0,0.3,0.001,0.20833333333333331,8.0,2847176.516932404,2686670.4380924576,60506.078840524475,1.0013247046009421,2.1112001036271977e-12,17539418
2,6.0,0.3,0.003,0.20833333333333331,24.0,4562224.748814032,4357159.5665562255,105065.18225807471,1.0064623408737727,1.4992451724538114e-12,11307786
3,6.0,1.0,0.0005,0.20833333333333331,4.0,2699522.8776452,2543838.2549633663,55684.62268119346,1.0006199856835196,1.638245095136881e-12,20748332
4,6.0,1.0,0.001,0.20833333333333331,8.0,3670964.248977761,3491447.6090102494,79516.63996765167,1.0017405552936587,1.2096990076315706e-12,13186719
5,6.0,1.0,0.003,0.20833333333333331,24.0,7455860.53678367,7212508.3201178955,143352.21666612878,1.0088070052586606,1.105782132526656e-12,11245751
6,6.0,3.0,0.0005,0.20833333333333331,4.0,2480773.49481279,2330734.6529454496,50038.84186752557,1.0005571437606373,1.6608936448392342e-12,15539824
7,6.0,3.0,0.001,0.20833333333333331,8.0,3763007.98513281,3590915.117987862,72092.86714476958,1.0015781828927706,8.01136934569513e-13,12060568
8,6.0,3.0,0.003,0.20833333333333331,24.0,6793720.467474684,6591380.422551923,102340.04492381444,1.0062952475961915,4.0811798385220754e-13,9808715
9,8.0,0.3,0.0005,0.2083333333333333,3.0000000000000004,3990284.712082124,3806381.691728951,83903.020353756,1.0007025778411234,1.3809398069497547e-11,29917275
10,8.0,0.3,0.001,0.2083333333333333,6.000000000000001,3510283.3557727817,3334839.438815271,75443.91695877403,1.0012457574968257,1.3162804179955856e-12,20952593
11,8.0,0.3,0.003,0.2083333333333333,18.0,5194082.628430218,4971591.689408995,122490.93902105068,1.0057413991739588,5.453415496958769e-12,13194211
12,8.0,1.0,0.0005,0.2083333333333333,3.0000000000000004,3100333.8041274874,2937049.75766614,63284.046461048296,1.0005299666788177,8.262723838470265e-12,24638079
13,8.0,1.0,0.001,0.2083333333333333,6.000000000000001,3997073.7306943494,3810208.834141962,86864.89655072616,1.001434209824988,1.6990853168863396e-12,15550441
14,8.0,1.0,0.003,0.2083333333333333,18.0,8200185.779256321,7937158.172076126,163027.60717895726,1.0076342306935808,2.780886632081092e-12,12301323
15,8.0,3.0,0.0005,0.2083333333333333,3.0000000000000004,2878708.079713442,2716461.042118998,62247.03759432341,1.0005212846016251,2.275513111271721e-12,18511126
16,8.0,3.0,0.001,0.2083333333333333,6.000000000000001,4357075.109457944,4168221.924553123,88853.18490594758,1.0014670140318853,2.680522470654978e-12,14123545
17,8.0,3.0,0.003,0.2083333333333333,18.0,8087464.822808296,7856089.031240541,131375.79156616112,1.0061565758887718,1.1759482276829658e-12,11344669
18,10.0,0.3,0.0005,0.20833333333333331,2.4,4576180.708242697,4377938.893362452,98241.81487972211,1.0006592526704954,5.17896836527143e-12,32668292
19,10.0,0.3,0.001,0.20833333333333331,4.8,4082109.029706707,3893117.3785252534,88991.65118214827,1.0011795557441634,3.298694650766265e-12,23630319
20,10.0,0.3,0.003,0.20833333333333331,14.4,5777630.386807151,5539138.874761427,138491.51204544064,1.0052438767951428,2.161826273550105e-12,14868898
21,10.0,1.0,0.0005,0.20833333333333331,2.4,3473831.1884427057,3303174.4244626407,70656.7639801578,1.0004741867770215,7.644551658358978e-12,27828895
22,10.0,1.0,0.001,0.20833333333333331,4.8,4294400.957291058,4100878.0203858376,93522.9369043062,1.001239579300497,1.7701395904623496e-12,17748203
23,10.0,1.0,0.003,0.20833333333333331,14.4,8818311.58594878,8538679.122875988,179632.4630742168,1.0067963859900635,1.2327916465437738e-12,13216404
24,10.0,3.0,0.0005,0.20833333333333331,2.4,3763752.729632571,3575260.60759699,88492.12203502757,1.0005938466743907,2.3279156380340282e-12,21501292
25,10.0,3.0,0.001,0.20833333333333331,4.8,5331059.474649199,5115808.244477608,115251.23017133246,1.0015273525790467,3.065103726385132e-12,16247121
26,10.0,3.0,0.003,0.20833333333333331,14.4,9607365.953059535,9342234.990425752,165130.96263328436,1.0062494256926264,1.1475265182525618e-12,12862675
27,12.0,0.3,0.0005,0.20833333333333331,2.0,5099531.090226467,4887995.007355876,111536.08287301702,1.0006244498778978,1.602540322664936e-11,34945820
28,12.0,0.3,0.001,0.20833333333333331,4.0,4589117.079230892,4387658.665183988,101458.41404844001,1.001123245774949,4.340527937074512e-12,25856733
29,12.0,0.3,0.003,0.20833333333333331,12.0,6311139.303219512,6057985.583961761,153153.7192576819,1.0048647790420702,1.8465229345565604e-12,16352053
30,12.0,1.0,0.0005,0.20833333333333331,2.0,3834751.4763245913,3656592.691466337,78158.78486003581,1.000437623417971,4.926725694076595e-12,30506966
31,12.0,1.0,0.001,0.20833333333333331,4.0,4589352.751678168,4389060.995455305,100291.75622420768,1.0011103368725291,3.977262963417161e-12,19790879
32,12.0,1.0,0.003,0.20833333333333331,12.0,9386706.684436372,9091462.879914634,195243.80452046802,1.0061976095334273,1.1519674103510624e-12,14074006
33,12.0,3.0,0.0005,0.20833333333333331,2.0,6006807.753489615,5754037.39866319,152770.3548270989,1.0008552068967507,7.034373084024992e-12,25104827
34,12.0,3.0,0.001,0.20833333333333331,4.0,6977509.181037243,6718504.186624986,159004.99441126199,1.0017597840101595,4.246381024586299e-12,18549693
35,12.0,3.0,0.003,0.20833333333333331,12.0,11498229.559386166,11191581.738864312,206647.82052475735,1.006558426821676,8.553158181712206e-13,14431043
36,6.0,10.0,0.0005,0.20833333333333331,4.0,5322347.120929719,5108556.1056468,113791.01528253875,1.0012665257500677,2.035704937952687e-12,18152016
37,6.0,10.0,0.001,0.20833333333333331,8.0,4918327.143988171,4729139.249736211,89187.89425276933,1.0019520450321089,1.305178187749334e-12,13273709
38,6.0,10.0,0.003,0.20833333333333331,24.0,4322079.677896172,4161038.976734073,61040.70116265549,1.0037595508668475,1.3216094885137863e-12,8447373
39,6.0,30.0,0.0005,0.20833333333333331,4.0,13081405.725645687,12760867.103068108,220538.62257643873,1.0024532017473353,7.87103715538251e-12,20016609
40,6.0,30.0,0.001,0.20833333333333331,8.0,7087085.836640048,6872844.693849453,114241.1427922698,1.0024996987416253,8.819611707622244e-13,13975325
41,6.0,30.0,0.003,0.20833333333333331,24.0,3252391.9640270732,3105473.8341275207,46918.12989931847,1.002890982342588,6.910028105266974e-13,8004653
42,6.0,100.0,0.0005,0.20833333333333331,4.0,17106034.528365355,16738294.20288251,267740.325487963,1.0029774789759702,1.6537882174816332e-12,20580139
43,6.0,100.0,0.001,0.20833333333333331,8.0,8346173.4722782085,8118915.647454084,127257.82482240292,1.0027841199903855,1.666222715357435e-12,14220461
44,6.0,100.0,0.003,0.20833333333333331,24.0,2809198.1133294036,2667779.352917492,41418.76041171987,1.0025525557217942,8.557599073810707e-13,7835815
45,8.0,10.0,0.0005,0.2083333333333333,3.0000000000000004,12900738.272746496,12530361.57665686,270376.69609067345,1.0022622868678535,3.7410075037769275e-12,23105986
46,8.0,10.0,0.001,0.2083333333333333,6.000000000000001,8997833.166141763,8730623.50267891,167209.66345944983,1.0027589409087316,6.196820834247774e-12,16607769
47,8.0,10.0,0.003,0.2083333333333333,18.0,6995838.977197022,6792686.58078001,103152.39641574677,1.0048371431400367,1.198152688175469e-12,10562121
48,8.0,30.0,0.0005,0.2083333333333333,3.0000000000000004,29083139.485278927,28511272.279843014,471867.20542529516,1.0039448764786343,3.5225156125306967e-12,25261913
49,8.0,30.0,0.001,0.2083333333333333,6.000000000000001,15487507.135763649,15144095.795171572,243411.3405957532,1.0040137453693312,1.4708234630234074e-12,17818340
50,8.0,30.0,0.003,0.2083333333333333,18.0,6531178.335873894,6337824.312992994,93354.02288033656,1.0043786676517117,1.9735324485736783e-12,10290477
51,8.0,100.0,0.0005,0.2083333333333333,3.0000000000000004,35594245.41573073,34945527.19773329,548718.2179897834,1.0045858948692048,5.753619802817411e-12,25986414
52,8.0,100.0,0.001,0.2083333333333333,6.000000000000001,18615561.25257731,18238345.37475583,277215.8778182838,1.0045698990019076,1.8536283619141614e-12,18267952
53,8.0,100.0,0.003,0.2083333333333333,18.0,6327467.517033131,6138077.572853989,89389.94417947282,1.0041931250569256,1.4450662888521038e-12,10175384
54,10.0,10.0,0.0005,0.20833333333333331,2.4,27845389.64772035,27201148.130549863,544241.5171763956,1.0036466927412175,3.707256723828323e-12,28270329
55,10.0,10.0,0.001,0.20833333333333331,4.8,16812901.772221327,16406605.716340752,306296.05586980475,1.0040540326330794,1.5409895581797173e-12,20271163
56,10.0,10.0,0.003,0.20833333333333331,14.4,10871295.57526425,10607560.999022687,163734.57624298404,1.0061967417998972,6.3860028376439e-13,12769482
57,10.0,30.0,0.0005,0.20833333333333331,2.4,51656733.36828584,50731472.9250248,825260.4432508402,1.0055244838502118,4.030553668599168e-12,30528009
58,10.0,30.0,0.001,0.20833333333333331,4.8,29231390.379609745,28682965.251368783,448425.128242209,1.0059296560701625,1.8465229345565604e-12,21939585
59,10.0,30.0,0.003,0.20833333333333331,14.4,11949078.70602172,11680973.073566942,168105.63245745137,1.006361647027805,7.158718062783009e-13,12782109
60,10.0,100.0,0.0005,0.20833333333333331,2.4,60287356.101131685,59258769.546866745,928586.55427652,1.0062140361319707,6.710187960834446e-12,31340367
61,10.0,100.0,0.001,0.20833333333333331,4.8,34433269.33846664,33827400.69679894,505868.6416664921,1.0066867247055116,4.61053417666335e-12,22558404
62,10.0,100.0,0.003,0.20833333333333331,14.4,12463440.79611235,12193072.077482754,170368.71862860298,1.0064470150302685,1.644906433284632e-12,12788840
63,12.0,10.0,0.0005,0.20833333333333331,2.0,49839872.221145466,48824143.14986101,915729.0712860178,1.0051153506453552,5.892175636290631e-12,33278521
64,12.0,10.0,0.001,0.20833333333333331,4.0,29907638.811186567,29284428.594450664,523210.2167407909,1.0057790133032838,4.222400207254395e-12,24248406
65,12.0,10.0,0.003,0.20833333333333331,12.0,16583315.270064788,16232759.669692881,250555.60037728507,1.007946440720196,1.2088108292118704e-12,15149706
66,12.0,30.0,0.0005,0.20833333333333331,2.0,78537087.3371817,77179810.29201522,1257277.0451462315,1.007016617256043,8.688161301506625e-12,35639232
67,12.0,30.0,0.001,0.20833333333333331,4.0,48314277.29460229,47481898.237037316,732379.0575843233,1.0080800761029833,2.62456723021387e-12,26257361
68,12.0,30.0,0.003,0.20833333333333331,12.0,20282411.094709907,19902247.345980003,280163.74872946314,1.0088813362687736,8.695266728864226e-13,15522710
69,12.0,100.0,0.0005,0.20833333333333331,2.0,88890176.45502855,87406802.11295909,1383374.3420653823,1.0077176459163792,5.170974759494129e-12,36492424
70,12.0,100.0,0.001,0.20833333333333331,4.0,55472010.37015896,54558698.61590934,813311.7542436463,1.008969007213848,3.270272941335861e-12,26990457
71,12.0,100.0,0.003,0.20833333333333331,12.0,21957071.90099782,21563831.13820573,293240.76279183896,1.009293975351607,1.7363888105137448e-12,15681056
