task_id,black_hole_seed_msun,axis,reference_r_min_over_influence,seed_r_min_over_influence,cells,final_black_hole_mass_msun,growth_factor,dark_matter_accreted_msun,dark_matter_supplied_msun,final_dark_reservoir_msun,dark_capture_fraction,baryon_accreted_msun,dark_fraction_of_growth,time_to_1e5_msun_myr,time_to_1e6_msun_myr,time_to_1e7_msun_myr,mass_budget_residual_code,steps
0,100.0,inner_boundary,0.05208333333333334,52.08333333333334,282,103.25391473414264,1.0325391473414265,3.252975955178606,14151.719777820746,14149.130245804885,0.00022985358043279387,0.0009387789599914116,0.9997114924511747,nan,nan,nan,4.0678571622265736e-13,7041411
1,100.0,inner_boundary,0.10416666666666667,104.16666666666669,269,101.9797762902473,1.019797762902473,1.9788597620275872,2443549.3381670164,2443550.0129346,8.098292030093942e-07,0.0009165282318676933,0.9995370546539885,nan,nan,nan,3.3217872896784684e-13,5422849
2,100.0,inner_boundary,0.20833333333333334,208.33333333333337,256,100.95772160814201,1.00957721608142,0.9568223828085015,15740220.547039155,15740227.593081491,6.07883310645005e-08,0.0008992253267994685,0.9990610785787197,nan,nan,nan,1.5996093338799255e-12,6453328
3,100.0,grid,0.10416666666666667,104.16666666666669,538,101.98470321915607,1.0198470321915607,1.98378659301581,2791600.9836328654,2791601.65348965,7.10626167173978e-07,0.0009166261347194955,0.9995381545555945,nan,nan,nan,4.849454171562684e-13,11302865
4,1000.0,inner_boundary,0.05208333333333334,5.208333333333334,282,1103.168202408652,1.103168202408652,103.0635416682108,52758.34174664923,52655.94164891899,0.001953477729458693,0.10466074030778197,0.9989855329646379,nan,nan,nan,8.517631044924201e-13,7550784
5,1000.0,inner_boundary,0.10416666666666667,10.416666666666668,269,1081.6405758413564,1.0816405758413563,81.53873154842404,4717207.252281004,4717128.367177554,1.728537274677563e-05,0.10184429302358515,0.9987525284837498,nan,nan,nan,4.0323300254385686e-13,6599911
6,1000.0,inner_boundary,0.20833333333333334,20.833333333333336,256,1053.9979842803016,1.0539979842803016,53.90034586634023,15888530.529556487,15888487.242541999,3.392403706646168e-06,0.0976384140775185,0.998191813726703,nan,nan,nan,1.901589996577968e-12,6679383
7,1000.0,grid,0.10416666666666667,10.416666666666668,538,1081.6979076378086,1.0816979076378086,81.59603240067153,5338230.166806224,5338151.224403018,1.528521425448625e-05,0.10187523732164755,0.9987530251375748,nan,nan,nan,5.071498776487715e-13,13925087
8,10000.0,inner_boundary,0.05208333333333334,0.5208333333333334,282,17187.590249239387,1.7187590249239386,7165.459694561336,6737233.145104942,6730068.348854328,0.0010635610842938356,22.13055468134608,0.9969210049668047,nan,nan,nan,1.6981971384666394e-12,23766935
9,10000.0,inner_boundary,0.10416666666666667,1.0416666666666667,269,14874.162544542101,1.4874162544542102,4856.060400651182,13759115.292332407,13754261.885563022,0.000352933990370858,18.10214388878959,0.9962861017199377,nan,nan,nan,1.3073986337985843e-12,15449110
10,10000.0,inner_boundary,0.20833333333333334,2.0833333333333335,256,13339.300164626191,1.333930016462619,3324.117887865628,16514328.811526742,16511015.306970859,0.00020128676069607632,15.182276761631949,0.9954534555110105,nan,nan,nan,3.814726312612038e-12,8219415
11,10000.0,grid,0.10416666666666667,1.0416666666666667,538,14848.094425270758,1.4848094425270757,4830.020435483626,13996273.90923517,13991446.542420892,0.00034509324060509096,18.07398978220907,0.9962719394051154,nan,nan,nan,1.5268675213064853e-11,32214009
12,100000.0,inner_boundary,0.05208333333333334,0.05208333333333334,282,14523493.698055012,145.23493698055012,14301932.48562448,14301931.82218054,7.902985256928646e-17,1.0,121561.21243125366,0.9915719994770112,0.0,1.1,1.76,2.924238629020692e-11,64517909
13,100000.0,inner_boundary,0.10416666666666667,0.10416666666666669,269,15598896.602080734,155.98896602080734,15340673.187356235,15340670.53372798,3.161194102771458e-16,0.9999999999999997,158223.41472636053,0.9897913110341509,0.0,0.9400000000000001,1.6500000000000001,1.9183765687103005e-11,26876951
14,100000.0,inner_boundary,0.20833333333333334,0.20833333333333337,256,16849996.97982746,168.4999697982746,16551255.689818919,16551245.076485401,6.954627026097208e-15,0.9999999999999993,198741.29000942764,0.9881348462183073,0.0,0.81,1.53,2.2710722191732202e-12,11013352
15,100000.0,grid,0.10416666666666667,0.10416666666666669,538,15651211.878492016,156.51211878492018,15391705.212338755,15391702.558710499,3.161194102771458e-16,0.9999999999999997,159506.66614547957,0.989743135943388,0.0,0.9400000000000001,1.6500000000000001,5.490186083534354e-11,54818152
