task_id,boundary_protocol,halo_mass_msun,halo_redshift,halo_concentration,halo_scale_radius_pc,halo_scale_density_msun_pc3,final_black_hole_mass_msun,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,dark_accreted_halo_fraction,mass_budget_residual_code,r_min_pc,r_min_over_rs,r_min_over_influence_radius,cells,steps
0,scaled_rmin,1000000.0,10.0,4.0,70.62508057738597,0.27908064948095657,406.0618526402002,297.73256561021003,8.32928702999428,0.9727856086665532,0.00029773256561021,1.1013412404281553e-13,0.011770846762897661,0.00016666666666666666,0.41666666666666663,256,223514
1,scaled_rmin,1000000.0,15.0,4.0,48.57257725723945,0.8578930525805544,713.4184056857372,601.447917295206,11.970488390511715,0.9804856061057552,0.000601447917295206,2.184918912462308e-13,0.008095429542873242,0.00016666666666666666,0.41666666666666663,256,454882
2,scaled_rmin,1000000.0,20.0,4.0,37.01132930074154,1.9391104348624437,1050.6022033901838,934.8598168347303,15.74238655545738,0.9834395644157876,0.0009348598168347303,8.260059303211165e-14,0.006168554883456923,0.00016666666666666666,0.41666666666666663,256,763859
3,scaled_rmin,1000000.0,25.0,4.0,29.89487273483564,3.67973435232109,1416.8050569783422,1297.011772125178,19.793284853257546,0.9849687053157407,0.0012970117721251779,2.5845992013273644e-13,0.004982478789139273,0.00016666666666666666,0.41666666666666663,256,1152429
4,scaled_rmin,1000000.0,30.0,4.0,25.073543019672805,6.236766360950959,1820.848112096927,1696.5246087689077,24.32350332800197,0.9858653979063963,0.0016965246087689077,5.666578317686799e-13,0.004178923836612134,0.00016666666666666666,0.41666666666666663,256,1627595
5,scaled_rmin,10000000.0,10.0,4.0,152.15712358221734,0.2790806494809567,491.6784204872515,381.3336028913482,10.344817595896531,0.9735884923580057,3.813336028913482e-05,2.398081733190338e-14,0.025359520597036223,0.00016666666666666666,4.166666666666666,256,129173
6,scaled_rmin,10000000.0,15.0,4.0,104.6464454272504,0.8578930525805546,923.2857120268154,807.532925854493,15.752786172334085,0.9808659546227989,8.07532925854493e-05,1.509903313490213e-14,0.017441074237875064,0.00016666666666666663,4.166666666666665,256,247683
7,scaled_rmin,10000000.0,20.0,4.0,79.73849176971106,1.9391104348624442,1582.3834085186852,1458.7783691104853,23.60503940821001,0.9840762927643747,0.00014587783691104853,8.970602038971265e-14,0.013289748628285176,0.00016666666666666666,4.166666666666666,256,408673
8,scaled_rmin,10000000.0,25.0,4.0,64.40655087401824,3.6797343523210895,2569.847941183476,2435.021579742484,34.82636144110903,0.9858993904603276,0.0002435021579742484,1.163513729807164e-13,0.010734425145669706,0.00016666666666666666,4.166666666666666,256,621119
9,scaled_rmin,10000000.0,30.0,4.0,54.01931088358988,6.23676636095096,3972.124697987599,3821.9459564281615,50.17874155948638,0.9870410316110129,0.00038219459564281614,2.3003821070233244e-13,0.009003218480598313,0.00016666666666666666,4.166666666666666,256,894441
10,scaled_rmin,100000000.0,10.0,4.0,327.81258538099746,0.2790806494809567,1593.4723291845435,1462.1279636155757,31.344365568971423,0.979012422957925,1.4621279636155758e-05,2.842170943040401e-14,0.054635430896832905,0.00016666666666666666,41.666666666666664,256,117903
11,scaled_rmin,100000000.0,15.0,4.0,225.45393221699663,0.8578930525805546,3594.8560433063585,3433.0107851149887,61.8452581913553,0.9823039182658694,3.4330107851149884e-05,1.9539925233402755e-14,0.03757565536949944,0.00016666666666666666,41.666666666666664,256,219818
12,scaled_rmin,100000000.0,20.0,4.0,171.79137279948736,1.9391104348624444,7251.39986606076,7038.23743154615,113.16243451459466,0.9841761841549851,7.03823743154615e-05,2.3092638912203256e-14,0.028631895466581226,0.00016666666666666666,41.66666666666667,256,358316
13,scaled_rmin,100000000.0,25.0,4.0,138.7597074682882,3.6797343523210904,13035.138982175496,12746.20977364851,188.92920852617607,0.9853941106634162,0.0001274620977364851,8.704148513061227e-14,0.02312661791138137,0.00016666666666666666,41.666666666666664,256,541287
14,scaled_rmin,100000000.0,30.0,4.0,116.38107729922292,6.236766360950961,21425.732706910665,21032.64243541302,293.09027149746396,0.986256496997045,0.00021032642435413022,6.394884621840902e-14,0.01939684621653715,0.00016666666666666663,41.666666666666664,256,775339
