task_id,halo_mass_msun,halo_redshift,black_hole_seed_msun,seed_to_halo_ratio,halo_scale_density_msun_pc3,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,dark_accreted_halo_fraction,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
0,1000000.0,10.0,100.0,0.0001,0.27908064948095657,406.0618526402002,4.060618526402002,297.73256561021003,0.00029773256561021,8.32928702999428,0.9727856086665532,0.41666666666666663,1.1013412404281553e-13,223514
1,1000000.0,15.0,100.0,0.0001,0.8578930525805544,713.4184056857372,7.134184056857372,601.447917295206,0.000601447917295206,11.970488390511715,0.9804856061057552,0.41666666666666663,2.184918912462308e-13,454882
2,1000000.0,20.0,100.0,0.0001,1.9391104348624437,1050.6022033901838,10.506022033901838,934.8598168347303,0.0009348598168347303,15.74238655545738,0.9834395644157876,0.41666666666666663,8.260059303211165e-14,763859
3,1000000.0,25.0,100.0,0.0001,3.67973435232109,1416.8050569783422,14.168050569783423,1297.011772125178,0.0012970117721251779,19.793284853257546,0.9849687053157407,0.41666666666666663,2.5845992013273644e-13,1152429
4,1000000.0,30.0,100.0,0.0001,6.236766360950959,1820.848112096927,18.20848112096927,1696.5246087689077,0.0016965246087689077,24.32350332800197,0.9858653979063963,0.41666666666666663,5.666578317686799e-13,1627595
5,10000000.0,10.0,1000.0,0.0001,0.2790806494809567,2772.217633985424,2.772217633985424,1704.1150456527134,0.00017041150456527135,68.10258833270079,0.9615721077215786,0.41666666666666663,6.306066779870889e-14,209874
6,10000000.0,15.0,1000.0,0.0001,0.8578930525805546,3905.555213968624,3.905555213968624,2821.5433365716813,0.00028215433365716815,84.01187739693266,0.9710857749344942,0.4166666666666666,1.2168044349891716e-13,403064
7,10000000.0,20.0,1000.0,0.0001,1.9391104348624442,5313.523621536039,5.3135236215360395,4210.478708082938,0.0004210478708082938,103.04491345307581,0.9761111975975671,0.41666666666666663,7.904787935331115e-14,658016
8,10000000.0,25.0,1000.0,0.0001,3.6797343523210895,7143.132318911125,7.1431323189111255,6015.993814009052,0.0006015993814009052,127.13850490216052,0.9793039611875707,0.4166666666666667,1.1368683772161603e-13,983061
9,10000000.0,30.0,1000.0,0.0001,6.23676636095096,9445.47643050131,9.44547643050131,8288.590881506407,0.0008288590881506407,156.88554899467206,0.9814237183318276,0.41666666666666663,3.028688411177427e-13,1386212
10,100000000.0,10.0,10000.0,0.0001,0.2790806494809567,20414.081499467815,2.0414081499467813,9827.140631732853,9.827140631732853e-05,586.9408677343068,0.9436396894181253,0.41666666666666663,4.884981308350689e-14,202096
11,100000000.0,15.0,10000.0,0.0001,0.8578930525805546,27355.47503283026,2.7355475032830263,16653.16002985798,0.0001665316002985798,702.3150029716643,0.9595335188668845,0.41666666666666663,4.440892098500626e-14,382920
12,100000000.0,20.0,10000.0,0.0001,1.9391104348624444,37235.53244942702,3.7235532449427016,26376.549455490742,0.0002637654945549074,858.9829939352971,0.9684609436025787,0.4166666666666666,7.460698725481052e-14,622322
13,100000000.0,25.0,10000.0,0.0001,3.6797343523210904,50358.29312451757,5.0358293124517575,39299.69655914527,0.00039299696559145266,1058.596565370174,0.973770036257326,0.41666666666666663,1.5543122344752192e-13,925929
14,100000000.0,30.0,10000.0,0.0001,6.236766360950961,66854.67312127195,6.685467312127194,55554.51450669527,0.0005555451450669527,1300.1586145770398,0.9771318953535548,0.41666666666666663,2.1760371282653068e-13,1298612
15,1000000000.0,10.0,100000.0,0.0001,0.27908064948095673,176307.4293193492,1.763074293193492,70813.90815830368,7.081390815830367e-05,5493.521161047821,0.9280080431217915,0.41666666666666663,2.7533531010703882e-14,199881
16,1000000000.0,15.0,100000.0,0.0001,0.857893052580555,237122.87410064126,2.3712287410064126,130518.51109335909,0.00013051851109335908,6604.363007278483,0.9518361684686182,0.4166666666666667,7.815970093361102e-14,377797
17,1000000000.0,20.0,100000.0,0.0001,1.9391104348624442,321170.5268616858,3.211705268616858,213108.13642625292,0.00021310813642625294,8062.390435432024,0.9635467232011665,0.4166666666666666,5.062616992290714e-14,611157
18,1000000000.0,25.0,100000.0,0.0001,3.67973435232109,429540.2320599769,4.295402320599769,319688.89519674686,0.00031968889519674686,9851.33686322256,0.9701058143897978,0.41666666666666663,4.707345624410664e-14,903465
19,1000000000.0,30.0,100000.0,0.0001,6.236766360950961,564234.0165658195,5.642340165658195,452259.98713064636,0.00045225998713064637,11974.029435146002,0.9742069107219862,0.4166666666666666,2.1049828546892968e-13,1258949
