task_id,black_hole_seed_msun,reference_r_min_over_influence,seed_r_min_over_influence,flux_capture_mass_threshold_msun,final_black_hole_mass_msun,growth_factor,dark_matter_accreted_msun,dark_matter_supplied_msun,dark_capture_fraction,time_to_1e5_msun_myr,time_to_1e6_msun_myr,time_to_1e7_msun_myr,mass_budget_residual_code,steps
0,20000.0,0.05208333333333334,0.2604166666666667,50000.000000000015,47869.3831946886,2.3934691597344298,27712.399841531806,11787852.792984644,0.0023509284318782115,nan,nan,nan,4.349409721271513e-12,38503244
1,20000.0,0.10416666666666667,0.5208333333333334,100000.0,38685.2762725611,1.9342638136280552,18569.3895272109,14868174.78302728,0.0012489351574074242,nan,nan,nan,9.086953411951981e-12,19667899
2,30000.0,0.05208333333333334,0.17361111111111113,50000.000000000015,13173339.526578724,439.11131755262414,13067487.822694127,13067487.159250187,1.0,0.72,1.37,1.8800000000000001,4.576783396714745e-12,46273903
3,30000.0,0.10416666666666667,0.34722222222222227,100000.0,69266.50512987492,2.308883504329164,38920.09787268973,15146948.975649998,0.0025695003737556824,nan,nan,nan,1.2456702336294256e-11,21760573
4,40000.0,0.05208333333333334,0.13020833333333334,50000.000000000015,13701075.842827084,342.5268960706771,13572959.3310176,13572958.667573662,0.9999999999999999,0.6,1.3,1.85,1.1467271576748317e-11,51082719
5,40000.0,0.10416666666666667,0.2604166666666667,100000.0,15413553.59464089,385.3388398660222,15246091.635026406,15246088.981398277,0.9999999999999913,1.21,1.21,1.71,9.166889469724993e-12,23148385
6,50000.0,0.05208333333333334,0.10416666666666669,50000.000000000015,13991022.87641825,279.820457528365,13844157.667205708,13844157.003761766,1.0000000000000002,0.5,1.25,1.82,1.6488144183313125e-11,54542495
7,50000.0,0.10416666666666667,0.20833333333333337,100000.0,15490108.558219053,309.80217116438104,15299934.805900399,15299932.152272144,0.9999999999999996,0.61,1.06,1.69,3.229150280503745e-11,24150067
8,60000.0,0.05208333333333334,0.08680555555555557,50000.000000000015,14175504.792445738,236.25841320742896,14011845.34016763,14011844.676723687,1.0000000000000002,0.42,1.21,1.81,4.630873462474483e-11,57251910
9,60000.0,0.10416666666666667,0.17361111111111113,100000.0,15530649.08954326,258.84415149238765,15325386.964169936,15325384.31054167,1.0000000000000002,0.4,1.03,1.68,2.511235663860134e-11,24901734
10,70000.0,0.05208333333333334,0.07440476190476192,50000.000000000015,14303409.685260952,204.33442407515645,14124191.261668753,14124190.598224819,0.9999999999999996,0.33,1.18,1.79,2.9539037882386765e-11,59486635
11,70000.0,0.10416666666666667,0.14880952380952384,100000.0,15557217.649913194,222.24596642733133,15337887.474723034,15337884.821094772,1.0,0.28,1.01,1.67,1.7179146993839822e-11,25514757
12,80000.0,0.05208333333333334,0.06510416666666667,50000.000000000015,14396980.667293621,179.96225834117027,14203062.747231564,14203062.083787626,0.9999999999999999,0.25,1.1500000000000001,1.78,3.675992843454878e-11,61390211
13,80000.0,0.10416666666666667,0.13020833333333334,100000.0,15575626.76299861,194.69533453748264,15342903.530140894,15342900.876512632,1.0,0.2,0.98,1.6600000000000001,3.7910119488060445e-11,26031174
