task_id,halo_mass_msun,halo_redshift,halo_concentration,sigma_over_m_cm2_g,black_hole_seed_msun,final_black_hole_mass_msun,black_hole_growth_factor,dark_matter_accreted_msun,baryon_accreted_onto_bh_msun,dark_fraction_of_growth,r_min_over_influence_radius,mass_budget_residual_code,steps
0,1000000.0,10.0,3.0,10.0,100.0,287.49568207541824,2.8749568207541825,180.7652337448552,6.73044833056141,0.9641034489111286,0.5555555555555556,1.4210854715202004e-14,132491
1,1000000.0,10.0,3.0,30.0,100.0,313.6888335074191,3.136888335074191,206.53733024790282,7.151503259512567,0.9665330979530665,0.5555555555555556,1.2434497875801753e-14,135876
2,1000000.0,10.0,3.0,50.0,100.0,292.12581148039385,2.9212581148039387,185.18427552770748,6.941535952687504,0.9638698418541501,0.5555555555555556,1.4210854715202004e-14,134789
3,1000000.0,10.0,3.0,100.0,100.0,239.0573380813296,2.390573380813296,132.76821949621498,6.289118585113971,0.954773198797777,0.5555555555555556,1.5987211554602254e-14,131151
4,1000000.0,10.0,5.0,10.0,100.0,858.2395152968822,8.582395152968822,744.4191541340992,13.820361162803065,0.9817730929555,0.33333333333333337,8.615330671091215e-14,377804
5,1000000.0,10.0,5.0,30.0,100.0,696.1592631883267,6.961592631883267,584.4743506466078,11.68491254173638,0.9803996796439485,0.33333333333333337,3.552713678800501e-14,355631
6,1000000.0,10.0,5.0,50.0,100.0,528.5043909887376,5.285043909887375,418.7341512315146,9.770239757221303,0.977199207376431,0.33333333333333337,7.904787935331115e-14,333454
7,1000000.0,10.0,5.0,100.0,100.0,335.9738949749631,3.359738949749631,228.39722443976598,7.576670535195614,0.9678919122134207,0.33333333333333337,6.306066779870889e-14,306553
8,1000000.0,10.0,8.0,10.0,100.0,1792.0176726671825,17.920176726671826,1663.2501185527547,28.767554114537877,0.9829980770419019,0.20833333333333331,1.6431300764452317e-13,1042707
9,1000000.0,10.0,8.0,30.0,100.0,1390.5730415251246,13.905730415251247,1270.786009591479,19.787031933530113,0.984668026297634,0.20833333333333331,2.531308496145357e-13,889953
10,1000000.0,10.0,8.0,50.0,100.0,921.216647237774,9.21216647237774,807.0048921237532,14.21175511400497,0.9826942681181352,0.20833333333333331,2.4513724383723456e-13,785266
11,1000000.0,10.0,8.0,100.0,100.0,491.1620004392908,4.911620004392908,381.569229076133,9.592771363131972,0.9754762186705643,0.20833333333333331,7.016609515630989e-14,684598
12,1000000.0,20.0,3.0,10.0,100.0,1709.6905584222498,17.096905584222498,1584.3551492462252,25.33540917608478,0.9842606959185639,0.5555555555555555,7.283063041541027e-14,595502
13,1000000.0,20.0,3.0,30.0,100.0,1156.2128071843197,11.562128071843198,1039.1961366421237,17.01667054221881,0.9838889753783999,0.5555555555555555,8.526512829121202e-14,507951
14,1000000.0,20.0,3.0,50.0,100.0,764.7404110183959,7.647404110183959,652.1318035934389,12.608607424961209,0.9810322838570318,0.5555555555555555,4.440892098500626e-14,454117
15,1000000.0,20.0,3.0,100.0,100.0,434.9568578495657,4.349568578495657,325.9493030322521,9.0075548173049,0.9731083134850785,0.5555555555555555,1.0125233984581428e-13,404181
16,1000000.0,20.0,5.0,10.0,100.0,3156.470522001011,31.56470522001011,3006.385370187602,50.08515181289144,0.9836134026312744,0.3333333333333333,4.218847493575595e-13,1733608
17,1000000.0,20.0,5.0,30.0,100.0,2238.5517837693205,22.385517837693204,2109.3887855060366,29.162998263223155,0.9863632021985073,0.3333333333333333,7.034373084024992e-13,1357457
18,1000000.0,20.0,5.0,50.0,100.0,1349.4548636517077,13.494548636517077,1230.3962754682805,19.058588183459566,0.9847464772535073,0.3333333333333333,3.6148861681795097e-13,1151155
19,1000000.0,20.0,5.0,100.0,100.0,703.0954767020262,7.030954767020262,590.6575240949659,12.437952607038381,0.979376478372751,0.3333333333333333,1.4210854715202004e-13,987383
20,1000000.0,20.0,8.0,10.0,100.0,4857.626322933139,48.57626322933139,4672.982658908212,84.64366402521605,0.9822088456975027,0.20833333333333331,1.8820500713445654e-12,4483496
21,1000000.0,20.0,8.0,30.0,100.0,3720.2291641815805,37.202291641815805,3572.7318311208746,47.497333060690636,0.986880020322845,0.20833333333333331,7.176481631177012e-13,3362462
22,1000000.0,20.0,8.0,50.0,100.0,2295.4548553355585,22.954548553355586,2165.2188191457362,30.236036189807212,0.9862278943626008,0.20833333333333331,7.576161920042068e-13,2797716
23,1000000.0,20.0,8.0,100.0,100.0,1241.9695200404938,12.419695200404938,1122.610446936085,19.359073104511037,0.9830476446484121,0.20833333333333331,1.5631940186722204e-13,2363895
24,1000000.0,30.0,3.0,10.0,100.0,3567.2416648894273,35.67241664889427,3413.5896744405773,53.651990449040234,0.9845260308815074,0.5555555555555556,6.732392421326949e-13,1483166
25,1000000.0,30.0,3.0,30.0,100.0,2224.016125440209,22.240161254402093,2095.578199553917,28.437925886164265,0.9866112476521813,0.5555555555555556,3.268496584496461e-13,1119705
26,1000000.0,30.0,3.0,50.0,100.0,1304.6695772324483,13.046695772324483,1186.140149214735,18.52942801770748,0.9846186636004521,0.5555555555555556,3.1796787425264483e-13,950208
27,1000000.0,30.0,3.0,100.0,100.0,709.306178604622,7.09306178604622,596.7198551056779,12.586323498962948,0.9793431874796212,0.5555555555555556,1.8385293287792592e-13,827479
28,1000000.0,30.0,5.0,10.0,100.0,5616.120428026294,56.161204280262936,5422.836132875058,93.28429515148923,0.9830887856114822,0.3333333333333333,7.185363415374013e-13,4127517
29,1000000.0,30.0,5.0,30.0,100.0,3898.547020658731,38.98547020658731,3750.360684571492,48.18633608716847,0.9873145347878615,0.3333333333333333,5.213607323639735e-13,2991002
30,1000000.0,30.0,5.0,50.0,100.0,2364.3196437933425,23.643196437933426,2233.602650462388,30.71699333106529,0.986434338713992,0.3333333333333333,5.613287612504791e-13,2495129
31,1000000.0,30.0,5.0,100.0,100.0,1318.0910233612847,13.180910233612847,1197.8112999744778,20.279723386815622,0.9833512249923281,0.3333333333333333,1.6253665080512292e-13,2133259
32,1000000.0,30.0,8.0,10.0,100.0,7841.856797917143,78.41856797917143,7600.157540322511,141.69925759494356,0.9816969932028767,0.20833333333333331,3.5065284009760944e-12,10202022
33,1000000.0,30.0,8.0,30.0,100.0,6054.472600139622,60.54472600139622,5876.52967786191,77.94292227783362,0.9869101887754284,0.20833333333333331,1.709743457922741e-12,7456925
34,1000000.0,30.0,8.0,50.0,100.0,4117.69889590889,41.1769889590889,3964.6863265322836,53.01256937593832,0.9868052408231518,0.20833333333333331,6.901146321069973e-13,6315286
35,1000000.0,30.0,8.0,100.0,100.0,2549.2913921615987,25.492913921615987,2413.3521704968725,35.939221664515664,0.9853266860040657,0.20833333333333331,6.190603585309873e-13,5385603
36,10000000.0,10.0,3.0,10.0,1000.0,3151.064787481934,3.151064787481934,2079.8344873288647,71.23030015311711,0.966886027530369,0.5555555555555555,1.865174681370263e-14,135505
