task_id,model_label,cross_section_model,sigma0_over_m_cm2_g,velocity_scale_km_s,effective_sigma_at_virial_dispersion_cm2_g,smfp_effective_sigma_at_virial_dispersion_cm2_g,r_min_over_reference_influence,cells,final_black_hole_mass_msun,time_to_1e7_msun_myr,dark_matter_accreted_msun,initial_inner_effective_sigma_cm2_g,final_inner_effective_sigma_cm2_g,initial_inner_smfp_effective_sigma_cm2_g,final_inner_smfp_effective_sigma_cm2_g,mass_budget_residual_code,steps
0,constant_sigma1,constant,1.0,0.0,1.0,1.0,0.20833333333333334,256,16849996.97982746,1.53,16551255.689818919,1.0,1.0,1.0,1.0,2.2710722191732202e-12,11013352
1,constant_sigma1,constant,1.0,0.0,1.0,1.0,0.10416666666666667,269,15598896.602080734,1.6500000000000001,15340673.187356235,1.0,1.0,1.0,1.0,1.9183765687103005e-11,26876951
2,constant_sigma10,constant,10.0,0.0,10.0,10.0,0.20833333333333334,256,187647.02036963459,nan,85465.89812500252,10.0,10.0,10.0,10.0,6.865619184281968e-13,4720838
3,constant_sigma10,constant,10.0,0.0,10.0,10.0,0.10416666666666667,269,1165214.444147826,nan,1050675.9561703813,10.0,10.0,10.0,10.0,2.8466118351389014e-12,10771595
4,constant_sigma100,constant,100.0,0.0,100.0,100.0,0.20833333333333334,256,191510.57976149995,nan,89216.43275223531,100.0,100.0,100.0,100.0,1.865174681370263e-13,4252411
5,constant_sigma100,constant,100.0,0.0,100.0,100.0,0.10416666666666667,269,814452.9153129498,nan,702423.4056889114,100.0,100.0,100.0,100.0,1.112887559884257e-12,9948007
6,rutherford_sigma1_w10,rutherford,1.0,10.0,0.0008819394717806146,0.00040475421201870333,0.20833333333333334,256,180887.13454674525,nan,78792.03683779617,6.53661796781028e-05,4.3333215293633293e-07,2.7534148174406577e-05,1.6742239314909262e-07,1.6076029396572267e-13,4474439
7,rutherford_sigma1_w10,rutherford,1.0,10.0,0.0008819394717806146,0.00040475421201870333,0.10416666666666667,269,882944.6783870263,nan,770161.6005619941,1.9407393444523545e-05,3.6658101855765873e-07,7.949676271970962e-06,1.4136809427174336e-07,7.025491299827991e-13,10503713
8,rutherford_sigma1_w30,rutherford,1.0,30.0,0.023327353434956982,0.013033902895915746,0.20833333333333334,256,2944257.8027701494,nan,2798886.1862609107,0.002489558881028821,1.5314697369147132e-05,0.0011991514404840532,6.243224500373473e-06,5.941913627793838e-13,6303118
9,rutherford_sigma1_w30,rutherford,1.0,30.0,0.023327353434956982,0.013033902895915746,0.10416666666666667,269,2098742.2150937915,nan,1966451.5729394278,0.00082690666574699,1.2365575434899762e-05,0.0003784810420909398,5.0200236264134225e-06,1.6937562463681388e-12,15137717
10,rutherford_sigma1_w100,rutherford,1.0,100.0,0.29227724167852964,0.22065502583406119,0.20833333333333334,256,6094217.168005776,nan,5869433.8118608855,0.06783349151632544,0.002818802345712678,0.04199635068868796,0.0013665987893141682,6.057376822354854e-13,10155653
11,rutherford_sigma1_w100,rutherford,1.0,100.0,0.29227724167852964,0.22065502583406119,0.10416666666666667,269,5204997.001978956,nan,4998597.834546554,0.029174898649176422,0.002612126865163658,0.016619700687489598,0.001261334507703146,3.453237695794087e-12,26337052
12,rutherford_sigma1_w300,rutherford,1.0,300.0,0.7841665455953533,0.7291643777664004,0.20833333333333334,256,10631833.97175135,1.73,10329888.21906646,0.4448067217491401,0.08661065358291199,0.3627854409108569,0.05512461982750164,1.4370726830748026e-12,12224776
